TIME_PERIOD,REF_AREA,value
2023,ROU,931161.933
2017,AUS,1246686.244
2018,AUS,1324343.765
2023,PRT,501686.055
1993,CHN,1733767.567
2015,AUS,1124712.024
2012,AUS,998153.274
2022,AUS,1888029.01
2019,AUS,1357998.246
1997,AUS,450962.701
1998,AUS,478691.653
2013,AUS,1105181.029
2021,ZAF,841475.835
2017,AUT,473923.564
2006,AUT,309214.459
2007,AUT,325131.677
1996,AUS,424472.904
2002,AUS,600908.415
1999,AUS,510947.993
2005,AUS,719977.551
2008,AUS,852859.354
2003,AUS,639129.361
2000,AUS,539145.522
1994,AUS,381647.453
1995,AUS,404102.992
2004,AUS,678093.52
1990,AUS,304403.065
1991,AUS,314174.331
1992,AUS,334845.095
1993,AUS,355954.434
2009,AUS,904168.258
2001,AUS,569807.996
2008,BEL,405729.43
2013,BEL,489497.571
2011,AUS,993174.472
2014,AUS,1118193.984
2021,AUS,1669620.081
2021,BEL,702925.12
2020,BEL,647547.416
2015,BEL,519562.92
2022,BEL,796097.765
2014,BEL,506062.72
2012,BEL,471861.34
1996,BEL,230928.943
1997,BEL,241579.449
1998,BEL,248634.506
2016,BEL,548605.636
2018,BEL,599540.548
2017,BEL,571670.391
2019,BEL,651568.258
2001,BEL,296218.133
2006,BEL,371910.192
2002,AUT,250154.04
1999,AUT,219789.572
2005,AUT,286136.364
2010,AUT,349089.433
2008,AUT,341570.871
2013,AUT,402959.688
2003,AUT,259584.557
2000,AUT,234055.762
2009,AUT,339285.345
2011,AUT,370671.992
1995,AUT,187487.592
2004,AUT,273948.892
2021,AUT,563937.452
2015,AUT,428354.652
2019,AUT,535946.887
2022,AUT,639574.447
2023,AUT,643595.195
2014,AUT,413263.078
2023,AUS,1956344.937
1994,ZAF,290923.966
2019,CRI,116687.613
2018,CRI,106583.345
2000,CRI,31917.39
2009,CRI,56820.586
2005,COL,351665.953
2010,COL,480532.035
2013,COL,585888.316
2009,COL,454401.715
2011,COL,524596.546
1998,AUT,211617.705
2001,AUT,237701.136
2016,AUT,457782.62
2018,AUT,500696.449
2020,AUT,521841.689
2022,COL,1070755.176
2014,COL,618792.732
2012,COL,548251.361
2006,COL,386866.635
2007,COL,424094.282
2020,COL,785737.564
2016,COL,665398.39
2019,COL,807590.596
2018,COL,747103.675
2002,CHL,160694.763
1999,CHL,135403.718
2005,CHL,205184.272
2010,CHL,307855.67
2013,CHL,392670.388
2000,CHL,145355.726
2009,CHL,271327.841
2011,CHL,349147.748
2008,CHL,275754.676
2003,CHL,171606.243
2004,CHL,187973.653
2021,CHL,565981.847
2020,CHL,491062.045
2015,CHL,405311.397
2022,CHL,602631.465
2014,CHL,402902.197
2012,CHL,374316.6
1996,CHL,116331.729
1997,CHL,127084.973
1998,CHL,133888.46
2023,CHL,644836.891
2016,CHL,424831.691
2019,CHL,491687.97
2018,CHL,478093.905
2017,CHL,450891.85
2001,CHL,153318.301
2006,CHL,256070.328
1998,CAN,793682.05
2001,CAN,937793.044
2006,CAN,1241618.911
2007,CAN,1301593.852
2002,CAN,971009.088
1999,CAN,846421.343
2005,CAN,1171340.162
2010,CAN,1363578.975
2008,CAN,1342396.613
2013,CAN,1554122.745
2000,CAN,901003.29
2009,CAN,1307000.658
2011,CAN,1430807.125
1994,CAN,656367.112
1995,CAN,688183.628
2003,CAN,1023686.549
2004,CAN,1083615.23
2021,CAN,2179488.964
2020,CAN,1847838.765
2015,CAN,1594899.224
2022,CAN,2475480.404
1990,CAN,560184.877
1991,CAN,567047.864
1992,CAN,585191.62
1993,CAN,615002.847
2023,CAN,2583898.981
2014,CAN,1621396.709
2016,CAN,1678093.396
2019,CAN,1899694.991
2010,AUS,943427.031
2006,AUS,776413.103
2010,BEL,434128.241
2011,EST,32724.518
2008,EST,30490.336
2003,EST,18006.775
2004,EST,19811.435
2020,EST,54074.453
2015,EST,39094.706
2022,EST,64477.302
2021,EST,58895.77
2023,EST,64116.018
2014,EST,38652.401
1996,EST,9752.442
1997,EST,11165.366
1998,EST,11713.743
2001,EST,14311.471
2016,EST,42036.589
2019,EST,53853.948
2018,EST,49073.116
2017,EST,45458.516
2006,EST,26058.587
2003,BEL,320981.268
2000,BEL,284862.733
2011,BEL,455271.443
1995,BEL,227383.563
2004,BEL,334143.284
2004,DNK,178457.229
2017,DNK,318639.663
2021,DNK,406035.544
2015,DNK,277981.039
1990,DNK,93706.036
1991,DNK,98214.851
1992,DNK,102485.529
1993,DNK,104829.357
2022,DNK,454815.423
2014,DNK,270207.287
