TIME_PERIOD,ARG,AUS,AUT,BEL,BGR,BRA,CAN,CHE,CHL,CHN,CMR,COL,CPV,CRI,CZE,DEU,DNK,ESP,EST,FIN,FRA,GBR,GEO,GRC,HKG,HRV,HUN,IDN,IRL,ISL,ISR,ITA,JPN,KOR,LTU,LUX,LVA,MAR,MDG,MEX,MLT,NLD,NOR,NZL,POL,PRT,ROU,SEN,SGP,SVK,SVN,SWE,TUR,USA,ZAF,ZMB
1990,,17065.1,7677.85,9967.803334,,,27691.138,6796.279,13178.782,1143330.0,,32286.823708,,3029.093,10362.74,79364.0,5140.29,39342.191817,,4986.4,58176.0,57238.0,,10266.296226,5704.0,,10365.0,177325.69,3506.0,254.788,,56719.2,123611.0,42869.0,,381.911191,,,,87065.0,,14946.352339,4241.0,3373.0,38031.496819,9994.982277,,,3047.0,5297.999753,,8561.666506,55120.0,250181.0,36146.1228,
1991,,17284.0,7754.891,10005.802585,,,28037.42,6880.088,13422.01,1158230.0,,32949.53848,,3099.339,10308.682,79973.0,5154.09,39411.962917,,5013.7,58459.0,57439.0,,10353.20194,5752.0,,10346.0,179803.796,3526.0,258.0,,56775.5,124101.0,43296.0,,387.111344,,,,88631.0,,15067.347096,4262.0,3505.7,38109.497838,9966.710785,,,3135.0,5282.999754,,8619.684576,56055.0,253530.0,36939.7789,
1992,,17478.6,7840.709,10046.801776,,,28371.264,6943.095,13665.241,1171710.0,,33602.624918,,3168.612,10317.807,80500.0,5171.046,39504.113427,,5042.0,58740.0,57585.0,,10428.983724,5801.0,,10324.0,182316.534,3555.0,261.1,,56797.1,124567.0,43748.0,,392.411499,,,,90133.0,,15181.342157,4286.0,3542.2,38173.498674,9962.7,,,3231.0,5306.999753,,8670.700464,56986.0,256922.0,37745.4998,
1993,,17634.8,7905.632,10085.801006,,,28684.764,6988.858,13908.473,1185170.0,12864.0,34251.736285,,3238.595,10330.607,80946.0,5189.326,39590.491872,1511.3,5066.4,58986.0,57714.0,,10486.490476,5901.0,,10294.0,184864.386,3574.0,263.8,,56831.8,124938.0,44195.0,,398.011663,,,,91601.0,,15289.337477,4312.0,3585.2,38221.499301,9973.8,,,3313.0,5324.999752,,8714.5,57913.0,260282.0,38560.9994,
1994,,17805.5,7936.118,10115.800414,,,29000.663,7036.852,14151.708,1198500.0,13231.0,34863.602891,,3333.719,10336.162,81147.0,5205.613,39661.478144,1477.0,5088.3,59199.0,57862.0,,10534.065148,6035.0,,10261.0,187447.845,3586.0,266.0,,56843.4,125116.0,44642.0,,403.811833,,,,93055.0,,15380.333534,4337.0,3634.4,38252.499706,9997.8,,,3419.0,5346.899751,,8785.25,58837.0,263455.0,39382.4028,
1995,,18004.882,7948.278,10136.8,8406.067,161345.581,29302.311,7099.85921,14394.94,1211210.0,13600.0,35448.491617,,3430.694,10330.759,81308.0,5230.345,39718.895,1448.1,5107.8,59407.0,58025.0,,10562.164,6156.0,4620.03,10328.965,190067.407,3601.3,267.4,5603.375,56844.3,125436.0,45093.0,3629.1,409.512,2484.538,,,94490.0,377.784,15459.0,4359.0,3690.6,38275.0,10026.176,22680.95,,3525.0,5363.357,1988.689,8829.75,59756.0,266588.0,40203.5469,
1996,,18224.767,7959.016,10156.6,8362.826,163767.821,29610.218,7132.094406,14595.504,1223890.0,13971.0,36012.177761,,3517.828,10315.353,81466.0,5262.456,39884.246,1425.2,5124.6,59612.0,58164.0,,10608.821,6435.0,4557.097,10311.238,192723.577,3626.1,268.9,5790.175,56860.3,125711.0,45525.0,3601.613,414.462,2456.95,,,95877.0,379.998,15530.0,4381.0,3747.3,38289.0,10063.945,22607.62,,3671.0,5373.648,1989.856,8842.25,60671.0,269714.0,41015.6872,
1997,,18423.037,7968.041,10180.7,8312.068,166187.066,29905.948,7152.972156,14796.076,1236260.0,14344.0,36549.163201,,3609.802,10303.642,81510.0,5284.913,40049.974,1406.0,5139.8,59817.0,58314.0,,10661.312,6489.0,4534.92,10290.486,195416.867,3664.3,270.9,5938.025,56890.4,126011.0,45954.0,3575.137,419.85,2433.238,,,97205.0,382.787,15611.0,4405.0,3792.1,38292.0,10108.977,22545.93,,3796.0,5383.472,1986.327,8846.75,61582.0,272958.0,41824.4291,
1998,,18607.584,7976.789,10202.4,8256.786,168606.4,30155.173,7176.775813,14996.647,1247610.0,14724.0,37068.292044,,3697.323,10294.943,81446.0,5303.229,40214.066,1393.1,5153.5,60032.0,58475.0,,10720.566,6544.0,4532.136,10266.57,198147.795,3714.18,274.0,6096.125,56906.7,126349.0,46287.0,3549.331,425.195,2409.875,,,98485.0,385.269,15707.0,4431.0,3821.8,38284.0,10160.196,22502.8,,3927.0,5390.838,1982.353,8851.75,62464.0,276154.0,42615.2393,
1999,,18812.264,7992.323,10226.4,8210.624,171029.011,30401.286,7214.76625,15197.213,1257860.0,15113.0,37585.12874,,3787.072,10282.784,81422.0,5320.516,40369.667,1379.2,5165.5,60336.0,58684.0,,10761.705,6607.0,4512.598,10237.53,200916.888,3754.775,277.4,6257.325,56916.3,126587.0,46617.0,3524.238,431.338,2390.112,,,99706.0,387.484,15812.0,4462.0,3842.9,38270.0,10217.828,22458.02,9048.236461,3959.0,5395.608,1983.714,8857.5,63364.0,279328.0,43378.8574,
