TIME_PERIOD,REF_AREA,STANDARD_REVENUE,value
1990,CPV,T_2000,0.0
1991,CPV,T_2000,0.0
1992,CPV,T_2000,0.0
1993,CPV,T_2000,0.0
1994,CPV,T_2000,0.0
1995,CPV,T_2000,0.0
1996,CPV,T_2000,0.0
1997,CPV,T_2000,0.0
1998,CPV,T_2000,0.0
1999,CPV,T_2000,0.0
2000,SGP,T_2000,0.0
2001,SGP,T_2000,0.0
2002,SGP,T_2000,0.0
2003,SGP,T_2000,0.0
2004,SGP,T_2000,0.0
2005,SGP,T_2000,0.0
2006,SGP,T_2000,0.0
2007,SGP,T_2000,0.0
2008,SGP,T_2000,0.0
2009,SGP,T_2000,0.0
2010,SGP,T_2000,0.0
2011,SGP,T_2000,0.0
2012,SGP,T_2000,0.0
2013,SGP,T_2000,0.0
2014,SGP,T_2000,0.0
2015,SGP,T_2000,0.0
2016,SGP,T_2000,0.0
2017,SGP,T_2000,0.0
2018,SGP,T_2000,0.0
2019,SGP,T_2000,0.0
2020,SGP,T_2000,0.0
2021,SGP,T_2000,0.0
2022,SGP,T_2000,0.0
2023,SGP,T_2000,0.0
1990,ZAF,T_2000,0.0
1991,ZAF,T_2000,0.0
1992,ZAF,T_2000,0.0
1993,ZAF,T_2000,0.0
1994,ZAF,T_2000,0.0
1995,ZAF,T_2000,0.0
1996,ZAF,T_2000,0.0
1997,ZAF,T_2000,0.0
1998,ZAF,T_2000,0.0
1999,ZAF,T_2000,0.0
2000,ZAF,T_2000,0.0
2013,BGR,T_2000,7.436
2014,BGR,T_2000,7.814
2015,BGR,T_2000,7.777
2016,BGR,T_2000,7.729
2017,BGR,T_2000,8.236
2018,BGR,T_2000,8.666
2019,BGR,T_2000,8.852
2020,BGR,T_2000,9.085
2021,BGR,T_2000,8.821
2022,BGR,T_2000,8.245
2023,BGR,T_2000,8.505
2000,CPV,T_2000,0.807
2001,CPV,T_2000,0.474
2002,CPV,T_2000,0.404
2003,CPV,T_2000,0.555
2004,CPV,T_2000,0.566
2005,CPV,T_2000,0.577
2006,CPV,T_2000,0.522
2007,CPV,T_2000,0.087
2008,CPV,T_2000,0.046
2009,CPV,T_2000,0.035
2010,CPV,T_2000,0.028
2011,CPV,T_2000,0.023
2012,CPV,T_2000,0.025
2013,CPV,T_2000,0.026
2014,CPV,T_2000,0.033
2015,CPV,T_2000,0.026
2016,CPV,T_2000,0.03
2017,CPV,T_2000,0.031
2018,CPV,T_2000,0.037
2019,CPV,T_2000,0.034
2020,CPV,T_2000,0.044
2021,CPV,T_2000,0.042
2022,CPV,T_2000,0.035
1993,CMR,T_2000,0.934
1994,CMR,T_2000,0.838
1995,CMR,T_2000,0.769
1996,CMR,T_2000,0.771
1997,CMR,T_2000,0.742
1998,CMR,T_2000,0.736
1999,CMR,T_2000,0.777
2000,CMR,T_2000,0.873
2001,CMR,T_2000,0.926
2002,CMR,T_2000,0.919
2003,CMR,T_2000,0.895
2004,CMR,T_2000,0.878
2005,CMR,T_2000,0.816
2006,CMR,T_2000,0.767
2007,CMR,T_2000,0.783
2008,CMR,T_2000,0.808
2009,CMR,T_2000,0.831
2010,CMR,T_2000,0.997
2011,CMR,T_2000,0.996
2012,CMR,T_2000,0.958
2013,CMR,T_2000,0.961
2014,CMR,T_2000,0.856
2015,CMR,T_2000,0.845
2016,CMR,T_2000,1.003
2017,CMR,T_2000,1.02
2018,CMR,T_2000,1.021
2019,CMR,T_2000,1.015
2020,CMR,T_2000,1.038
2021,CMR,T_2000,1.02
2022,CMR,T_2000,0.959
2019,CHN,T_2000,5.964
2020,CHN,T_2000,4.757
2021,CHN,T_2000,5.887
2022,CHN,T_2000,6.076
2023,CHN,T_2000,6.443
1995,HRV,T_2000,15.368
