TIME_PERIOD,Argentina,Australia,Austria,Belgium,Bulgaria,Brazil,Canada,Switzerland,Chile,China (People’s Republic of),Cameroon,Colombia,Cabo Verde,Costa Rica,Czechia,Germany,Denmark,Spain,Estonia,Finland,France,United Kingdom,Georgia,Greece,Hong Kong (China),Croatia,Hungary,Indonesia,Ireland,Iceland,Israel,Italy,Japan,Korea,Lithuania,Luxembourg,Latvia,Morocco,Madagascar,Mexico,Malta,Netherlands,Norway,New Zealand,Poland,Portugal,Romania,Senegal,Singapore,Slovak Republic,Slovenia,Sweden,Türkiye,United States,South Africa,Zambia
1990,,304403.065,148819.552,186143.982,,,560184.877,191004.986,62125.381,1124714.27,,165518.19,,,132329.243,1550613.218,93706.036,531181.405,,90427.802,1017918.217,976326.049,,133756.989,104117.287,,,,48260.035,5598.64,73147.187,1058827.826,2458757.721,371433.303,,11428.403,,,,656162.565,,286922.928,78249.034,49518.966,236722.737,117521.666,,,72567.935,,24737.482,174442.545,456729.302,5963144.0,260367.638,
1991,,314174.331,159147.297,195966.475,,,567047.864,195655.909,69345.088,1271603.175,,175888.407,,17045.94,120914.563,1684939.298,98214.851,563125.919,,87992.308,1064400.231,998208.768,,142567.025,113775.873,,86585.306,,50854.811,5775.035,81463.406,1111475.238,2631467.512,425381.415,,12836.186,,,,706994.139,,303860.797,83390.393,50890.233,227559.031,126803.164,,,80039.819,,23297.928,178275.104,476549.784,6158129.0,266425.945,
1992,,334845.095,166181.839,203500.306,,,585191.62,200027.217,79633.637,1486559.204,,187674.793,,19038.56,123043.657,1758117.695,102485.529,581310.969,,87022.546,1105739.308,1025051.94,,146836.711,123624.191,,85844.921,,53752.71,5707.359,89784.895,1146288.853,2715675.011,462044.254,,13367.608,,,,749344.964,,316087.756,88339.469,52753.921,238598.393,131105.869,,,87299.407,38614.657,22526.93,180225.283,516577.24,6520327.0,266333.533,
1993,,355954.434,171017.124,206320.141,,,615002.847,204510.565,87216.512,1733767.567,21096.458,203125.828,,20873.069,126038.184,1780583.933,104829.357,588951.699,8677.377,88390.176,1127155.333,1075476.17,,147912.164,134402.292,,87373.451,881365.04,56508.488,5919.383,95696.94,1163452.448,2767279.211,505526.464,,14259.302,,,,792462.834,,327649.503,93006.411,57027.528,253384.957,131471.169,,,99610.026,40281.55,23716.612,180686.229,571350.083,6858559.0,276009.867,
1994,,381647.453,178864.825,217526.018,,,656367.112,211529.974,94163.689,2002276.771,21203.111,219097.574,,22282.201,132474.776,1863860.621,112739.321,615863.915,8717.114,93856.223,1178993.059,1140688.343,,154092.13,145557.772,,91869.265,968057.287,61037.17,6263.971,105000.487,1213857.641,2856992.794,564177.723,,15120.27,14835.391,,,844950.715,,344555.367,99794.624,61942.351,272493.343,135574.207,,,113025.308,43694.794,25513.543,191795.144,551713.755,7287236.0,290923.966,
1995,,404102.992,187487.592,227383.563,65043.834,1309554.572,688183.628,217004.052,106355.368,2269782.727,22622.449,235604.405,,23694.437,144045.163,1928824.46,118596.386,646116.476,9302.773,99882.175,1231773.397,1194091.437,,160626.636,152137.22,37174.803,95192.781,1069597.521,68320.948,6402.776,114280.725,1275087.918,2993644.743,631388.633,21655.565,15658.42,13274.03,,,811682.194,5276.887,362741.75,106121.285,65699.358,297547.828,144345.162,123071.41,,123675.158,47217.874,27118.391,203625.584,603789.821,7639749.0,306231.876,
1996,,424472.904,194340.571,230928.943,57255.645,1362985.285,712130.958,222747.307,116331.729,2541937.208,24007.623,243728.279,,24454.118,152411.034,1979067.848,124808.255,676728.874,9752.442,102798.884,1270414.221,1276091.612,,167327.504,161519.826,40113.171,96761.491,1174333.411,74474.182,6660.263,123249.658,1313028.102,3143992.145,693682.375,23121.172,16447.819,13849.134,,,877940.788,5567.972,381350.782,117491.285,68824.196,320860.472,150118.359,129912.925,,135348.781,51025.67,28395.646,211676.623,656954.889,8073122.0,325246.8,
1997,,450962.701,201549.393,241579.449,47788.953,1433558.431,755416.033,232005.82,127084.973,2825928.918,25527.265,255851.335,,26238.045,153610.276,2021638.859,131497.153,716995.38,11165.366,111955.949,1330389.936,1345090.985,,177260.196,172684.27,43233.922,101300.876,1250727.391,83154.135,7284.697,130032.539,1361453.699,3229588.927,749186.392,25393.768,17817.294,15348.68,,,957371.743,5928.815,406743.546,126002.326,72325.376,346494.823,159578.146,125468.807,,149132.789,54558.117,30292.409,219477.973,717354.452,8577552.0,339458.154,
1998,,478691.653,211617.705,248634.506,51007.506,1454571.005,793682.05,240727.942,133888.46,3084040.131,27034.014,260294.469,,28431.912,155061.694,2087622.202,136833.601,767527.969,11713.743,121459.539,1400106.85,1385424.795,,186884.395,164352.412,44817.939,106922.229,1098759.763,93160.256,7870.929,136810.596,1426859.736,3224451.313,718757.182,27673.35,18800.261,16577.676,,,1028028.103,6249.493,435827.877,124960.331,73706.41,368079.515,169542.593,124787.305,,147504.597,57493.687,31691.071,229197.169,558260.597,9062817.0,344989.516,
1999,,510947.993,219789.572,260168.781,47685.646,1482057.413,846421.343,248201.012,135403.718,3369671.202,29611.877,250260.312,,30047.819,159337.917,2177129.88,141784.554,805240.575,11694.818,127906.561,1464382.528,1437339.336,,191106.359,170856.272,44867.018,111512.148,1123123.992,101534.478,8198.7,143419.046,1460169.374,3258971.755,812466.993,27688.895,21456.896,17211.003,,,1071236.888,6564.672,463551.124,136417.339,78923.229,389722.19,181041.019,125763.717,18532.686,158146.155,57875.756,33725.127,243558.163,546532.203,9631172.0,358268.417,
