TIME_PERIOD,STANDARD_REVENUE,Argentina,Australia,Austria,Belgium,Bulgaria,Brazil,Canada,Switzerland,Chile,China (People’s Republic of),Cameroon,Colombia,Cabo Verde,Costa Rica,Czechia,Germany,Denmark,Spain,Estonia,Finland,France,United Kingdom,Georgia,Greece,Hong Kong (China),Croatia,Hungary,Indonesia,Ireland,Iceland,Israel,Italy,Japan,Korea,Lithuania,Luxembourg,Latvia,Morocco,Madagascar,Mexico,Malta,Netherlands,Norway,New Zealand,Poland,Portugal,Romania,Senegal,Singapore,Slovak Republic,Slovenia,Sweden,Türkiye,United States,South Africa,Zambia
1990,"Taxes on income, profits and capital gains of individuals and corporations",0.703,16.022,10.031,15.275,,5.093,17.032,10.834,3.898,,,3.395,3.655,2.25,,11.27,27.208,9.663,,16.846,6.671,12.925,,5.012,,,,,12.317,9.046,,13.23,13.9,6.085,,13.945,,,,3.916,,12.789,14.175,21.562,,6.798,,,,,,20.341,4.865,11.768,12.231,
1990,Social security contributions (SSC),3.352,0.0,12.914,13.749,,6.769,4.26,5.396,1.506,,,0.896,0.0,6.47,,13.044,0.012,11.172,,11.007,18.309,5.597,,7.611,,,,,4.568,0.957,,11.937,7.325,1.875,,9.552,,,,1.938,,14.834,10.584,0.0,,7.192,,,,,,13.302,2.857,6.657,0.0,
1990,Taxes on property,1.511,2.511,1.071,1.575,,1.646,3.515,2.053,1.032,,,0.247,0.879,0.298,,1.173,1.899,1.74,,1.051,2.628,2.686,,1.169,,,,,1.504,2.57,,0.818,2.602,2.188,,2.921,,,,0.216,,1.449,1.185,2.476,,0.718,,,,,,1.721,0.331,3.059,0.346,
1990,Taxes on goods and services,7.314,7.805,12.384,10.794,,13.544,9.063,4.847,10.559,,,6.109,5.917,10.186,,9.304,15.141,8.956,,13.975,11.804,10.197,,11.219,,,,,13.58,15.634,,10.162,3.792,8.226,,8.197,,,,5.063,,10.472,14.502,12.144,,11.711,,,,,,12.194,4.059,4.55,9.075,
1990,Total tax revenue,13.259,28.051,39.288,41.393,,27.837,35.072,23.167,16.774,,,11.347,10.451,22.408,,34.803,44.551,31.537,,42.934,41.55,32.869,,25.191,,,,,32.389,30.484,,36.271,27.69,18.579,,34.679,,,,11.519,,39.639,40.447,36.184,,26.486,,,,,,48.847,14.537,26.033,21.88,
1991,"Taxes on income, profits and capital gains of individuals and corporations",1.032,14.898,10.556,15.042,,3.723,16.703,10.747,4.318,,,4.38,3.74,1.651,,11.104,26.904,9.884,,16.923,7.061,11.89,,5.09,,,12.297,,12.961,8.979,,13.236,13.297,5.381,,12.415,,,,3.886,,13.93,14.519,19.999,7.426,7.604,,,,,,17.362,5.295,11.216,11.592,
1991,Social security contributions (SSC),3.832,0.0,13.001,14.272,,6.015,4.666,5.575,1.359,,,1.849,0.0,4.801,,13.324,0.011,11.312,,12.357,18.362,5.586,,7.38,,,16.008,,4.751,2.132,,12.108,7.519,1.902,,9.499,,,,2.015,,15.572,10.54,0.0,10.834,7.467,,,,,,13.635,2.99,6.743,0.0,
1991,Taxes on property,1.846,2.602,1.089,1.539,,1.171,3.711,1.873,1.057,,,0.27,0.837,0.2,,1.001,1.69,1.576,,1.003,2.642,2.373,,0.989,,,0.517,,1.506,2.717,,0.911,2.652,2.305,,2.515,,,,0.265,,1.489,1.161,2.202,1.337,0.738,,,,,,1.891,0.34,3.195,0.306,
1991,Taxes on goods and services,7.762,7.39,12.196,10.754,,11.311,9.192,4.791,11.111,,,6.176,7.739,8.219,,9.433,15.044,9.019,,14.138,11.399,10.527,,11.707,,,14.801,,13.304,15.712,,10.293,3.817,7.688,,8.017,,,,5.031,,10.584,14.353,12.145,8.738,11.659,,,,,,12.384,4.457,4.702,8.567,
1991,Total tax revenue,15.11,26.615,39.748,41.608,,22.852,35.503,23.026,17.665,,,13.318,12.316,17.594,,34.874,43.946,31.808,,44.48,41.892,31.684,,25.292,,,44.622,,32.956,30.838,,36.665,27.356,18.264,,32.504,,,,11.677,,41.666,40.575,34.348,33.99,27.53,,,,,,46.922,15.235,25.855,20.659,
