TIME_PERIOD,REF_AREA,MEASURE,UNIT_MEASURE,TRANSFORMATION,ADJUSTMENT,SEX,AGE,ACTIVITY,FREQ,value
1990,JPN,LF,PS,_Z,Y,_T,Y15T64,_Z,A,60235.0
1991,JPN,LF,PS,_Z,Y,_T,Y15T64,_Z,A,61160.0
1992,JPN,LF,PS,_Z,Y,_T,Y15T64,_Z,A,61689.17
1993,JPN,LF,PS,_Z,Y,_T,Y15T64,_Z,A,61980.83
1994,JPN,LF,PS,_Z,Y,_T,Y15T64,_Z,A,62112.5
1995,JPN,LF,PS,_Z,Y,_T,Y15T64,_Z,A,62215.83
1996,JPN,LF,PS,_Z,Y,_T,Y15T64,_Z,A,62556.67
1997,JPN,LF,PS,_Z,Y,_T,Y15T64,_Z,A,63116.67
1998,JPN,LF,PS,_Z,Y,_T,Y15T64,_Z,A,63074.17
1999,JPN,LF,PS,_Z,Y,_T,Y15T64,_Z,A,62860.0
2000,JPN,LF,PS,_Z,Y,_T,Y15T64,_Z,A,62729.17
2001,JPN,LF,PS,_Z,Y,_T,Y15T64,_Z,A,62596.67
2002,JPN,LF,PS,_Z,Y,_T,Y15T64,_Z,A,62015.83
2003,JPN,LF,PS,_Z,Y,_T,Y15T64,_Z,A,61780.0
2004,JPN,LF,PS,_Z,Y,_T,Y15T64,_Z,A,61520.0
2005,JPN,LF,PS,_Z,Y,_T,Y15T64,_Z,A,61461.67
2006,JPN,LF,PS,_Z,Y,_T,Y15T64,_Z,A,61428.33
2007,JPN,LF,PS,_Z,Y,_T,Y15T64,_Z,A,61353.33
2008,JPN,LF,PS,_Z,Y,_T,Y15T64,_Z,A,61085.0
2009,JPN,LF,PS,_Z,Y,_T,Y15T64,_Z,A,60708.33
2010,JPN,LF,PS,_Z,Y,_T,Y15T64,_Z,A,60470.83
2012,JPN,LF,PS,_Z,Y,_T,Y15T64,_Z,A,59550.83
2013,JPN,LF,PS,_Z,Y,_T,Y15T64,_Z,A,59411.67
2014,JPN,LF,PS,_Z,Y,_T,Y15T64,_Z,A,59106.67
2015,JPN,LF,PS,_Z,Y,_T,Y15T64,_Z,A,58779.17
2016,JPN,LF,PS,_Z,Y,_T,Y15T64,_Z,A,58874.17
2017,JPN,LF,PS,_Z,Y,_T,Y15T64,_Z,A,58985.0
2018,JPN,LF,PS,_Z,Y,_T,Y15T64,_Z,A,59546.67
2019,JPN,LF,PS,_Z,Y,_T,Y15T64,_Z,A,59795.83
2020,JPN,LF,PS,_Z,Y,_T,Y15T64,_Z,A,59571.67
2021,JPN,LF,PS,_Z,Y,_T,Y15T64,_Z,A,59805.83
2022,JPN,LF,PS,_Z,Y,_T,Y15T64,_Z,A,59745.83
2023,JPN,LF,PS,_Z,Y,_T,Y15T64,_Z,A,59946.67
1990,USA,LF,PS,_Z,Y,_T,Y15T64,_Z,A,122389.3
1991,USA,LF,PS,_Z,Y,_T,Y15T64,_Z,A,122933.2
1992,USA,LF,PS,_Z,Y,_T,Y15T64,_Z,A,124631.8
1993,USA,LF,PS,_Z,Y,_T,Y15T64,_Z,A,125760.8
1994,USA,LF,PS,_Z,Y,_T,Y15T64,_Z,A,127226.8
1995,USA,LF,PS,_Z,Y,_T,Y15T64,_Z,A,128484.5
1996,USA,LF,PS,_Z,Y,_T,Y15T64,_Z,A,130115.1
1997,USA,LF,PS,_Z,Y,_T,Y15T64,_Z,A,132409.5
