,TIME_PERIOD,REF_AREA,MEASURE,SECTOR,STANDARD_REVENUE,CTRY_SPECIFIC_REVENUE,UNIT_MEASURE,FREQ,value
0,2018,AZE,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,16.206
1,2017,AZE,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,16.277
2,2016,AZE,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,18.224
3,2015,AZE,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,18.949
4,2014,AZE,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,17.184
5,2022,BGR,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,31.059
6,2021,BGR,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,30.667
7,2020,BGR,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,30.348
8,2019,BGR,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,30.464
9,2018,BGR,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,29.72
10,2017,BGR,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,29.841
11,2016,BGR,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,29.184
12,2015,BGR,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,28.863
13,2014,BGR,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,28.399
14,2016,KHM,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,11.876
15,2015,KHM,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,11.663
16,2014,KHM,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,11.75
17,2022,CPV,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,18.257
18,2021,CPV,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,17.788
19,2020,CPV,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,18.736
20,2019,CPV,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,18.694
21,2018,CPV,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,19.583
22,2017,CPV,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,18.205
23,2016,CPV,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,17.465
24,2015,CPV,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,17.648
25,2014,CPV,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,15.943
26,2022,BFA,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,18.413
27,2021,BFA,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,15.423
28,2020,BFA,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,15.914
29,2019,BFA,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,17.275
30,2018,BFA,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,16.802
31,2017,BFA,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,16.198
32,2016,BFA,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,15.272
33,2015,BFA,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,14.563
34,2014,BFA,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,14.275
35,2023,BGR,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,29.924
36,2016,COK,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,27.57
37,2015,COK,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,26.94
38,2014,COK,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,21.968
39,2022,COG,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,8.891
40,2021,COG,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,8.232
41,2020,COG,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,9.817
