TIME_PERIOD,FREQ,REF_AREA,SECTOR,COUNTERPART_SECTOR,TRANSACTION,INSTR_ASSET,ACTIVITY,EXPENDITURE,UNIT_MEASURE,PRICE_BASE,TRANSFORMATION,TABLE_IDENTIFIER,value
2020,A,AUS,S1,S1,B1G,_Z,J,_Z,XDC,V,N,T0101,46270.0
2023,A,AUS,S1,S1,B1G,_Z,C,_Z,USD_EXC,V,N,T0101,97514.53
2023,A,AUS,S1,S1,B1G,_Z,BTE,_Z,USD_EXC,V,N,T0101,336174.597
2020,A,AUS,S1,S1,B1G,_Z,A,_Z,USD_EXC,V,N,T0101,33070.327
2023,A,AUS,S1,S1,B1GXP119,_Z,_T,_Z,USD_EXC,V,N,T0101,1664291.702
2021,A,AUS,S1,S1,D21X31,_Z,_Z,_Z,USD_EXC,V,N,T0101,114901.752
2020,A,AUS,S1,S1,B1G,_Z,RTU,_Z,USD_EXC,V,N,T0101,31763.452
2020,A,AUS,S1,S1,B1G,_Z,OTQ,_Z,USD_EXC,V,N,T0101,254432.445
2020,A,AUS,S1,S1,B1G,_Z,M_N,_Z,USD_EXC,V,N,T0101,147031.992
2023,A,AUS,S1,S1,B1G,_Z,L,_Z,USD_EXC,V,N,T0101,200029.091
2023,A,AUS,S1,S1,B1G,_Z,K,_Z,USD_EXC,V,N,T0101,124405.469
2020,A,AUS,S1,S1,B1G,_Z,J,_Z,USD_EXC,V,N,T0101,31842.594
2020,A,AUS,S1,S1,B1G,_Z,GTI,_Z,USD_EXC,V,N,T0101,205065.757
2021,A,AUS,S1,S1,B1G,_Z,F,_Z,USD_EXC,V,N,T0101,115351.714
2020,A,AUS,S1,S1,B1G,_Z,A,_Z,XDC,V,N,T0101,48054.0
2023,A,AUS,S1,S1,B1G,_Z,A,_Z,USD_EXC,V,N,T0101,39386.362
2019,A,AUS,S1,S1,B1G,_Z,_T,_Z,USD_EXC,V,N,T0101,1290096.321
2021,A,AUS,S1,S1,B1G,_Z,_T,_Z,USD_EXC,V,N,T0101,1635613.973
2022,A,AUS,S1,S1,B1G,_Z,_T,_Z,USD_EXC,V,N,T0101,1670497.587
2019,A,AUS,S1,S1,B1GXP119,_Z,_T,_Z,XDC,V,N,T0101,1855812.0
2020,A,AUS,S1,S1,B1GXP119,_Z,_T,_Z,XDC,V,N,T0101,1949223.0
2021,A,AUS,S1,S1,B1GXP119,_Z,_T,_Z,XDC,V,N,T0101,2177369.0
2022,A,AUS,S1,S1,B1GXP119,_Z,_T,_Z,XDC,V,N,T0101,2408297.0
2023,A,AUS,S1,S1,B1GXP119,_Z,_T,_Z,XDC,V,N,T0101,2505077.0
2019,A,AUS,S1,S1,B1G,_Z,_T,_Z,XDC,V,N,T0101,1855812.0
2020,A,AUS,S1,S1,B1G,_Z,_T,_Z,USD_EXC,V,N,T0101,1341437.59
2023,A,AUS,S1,S1,B1G,_Z,_T,_Z,USD_EXC,V,N,T0101,1664291.702
2019,A,AUS,S1,S1,B1GXP119,_Z,_T,_Z,USD_EXC,V,N,T0101,1290096.321
2020,A,AUS,S1,S1,B1GXP119,_Z,_T,_Z,USD_EXC,V,N,T0101,1341437.59
2020,A,AUS,S1,S1,B1G,_Z,_T,_Z,XDC,V,N,T0101,1949223.0
2023,A,AUS,S1,S1,B1G,_Z,_T,_Z,XDC,V,N,T0101,2505077.0
2021,A,AUS,S1,S1,B1G,_Z,_T,_Z,XDC,V,N,T0101,2177369.0
2022,A,AUS,S1,S1,B1G,_Z,_T,_Z,XDC,V,N,T0101,2408297.0
2021,A,AUS,S1,S1,B1GXP119,_Z,_T,_Z,USD_EXC,V,N,T0101,1635613.973
2022,A,AUS,S1,S1,B1GXP119,_Z,_T,_Z,USD_EXC,V,N,T0101,1670497.587
2019,A,AUS,S1,S1,B1G,_Z,J,_Z,USD_EXC,V,N,T0101,31297.737
2019,A,AUS,S1,S1,B1G,_Z,GTI,_Z,USD_EXC,V,N,T0101,196853.467
