TIME_PERIOD,REF_AREA,MEASURE,UNIT_MEASURE,TRANSFORMATION,ADJUSTMENT,SEX,AGE,ACTIVITY,FREQ,value
2018,JPN,LF,PS,_Z,Y,_T,Y15T64,_Z,A,59546.67
2019,JPN,LF,PS,_Z,Y,_T,Y15T64,_Z,A,59795.83
2020,JPN,LF,PS,_Z,Y,_T,Y15T64,_Z,A,59571.67
2021,JPN,LF,PS,_Z,Y,_T,Y15T64,_Z,A,59805.83
2022,JPN,LF,PS,_Z,Y,_T,Y15T64,_Z,A,59745.83
2023,JPN,LF,PS,_Z,Y,_T,Y15T64,_Z,A,59946.67
2018,USA,LF,PS,_Z,Y,_T,Y15T64,_Z,A,152042.5
2019,USA,LF,PS,_Z,Y,_T,Y15T64,_Z,A,152875.1
2020,USA,LF,PS,_Z,Y,_T,Y15T64,_Z,A,150129.6
2021,USA,LF,PS,_Z,Y,_T,Y15T64,_Z,A,150604.3
2022,USA,LF,PS,_Z,Y,_T,Y15T64,_Z,A,153389.8
2023,USA,LF,PS,_Z,Y,_T,Y15T64,_Z,A,155920.7
2020,AUS,LF,PS,_Z,Y,_T,Y15T64,_Z,A,12877.44
2018,AUT,LF,PS,_Z,Y,_T,Y15T64,_Z,A,4477.5
2019,AUT,LF,PS,_Z,Y,_T,Y15T64,_Z,A,4500.25
2020,AUT,LF,PS,_Z,Y,_T,Y15T64,_Z,A,4456.0
2021,AUT,LF,PS,_Z,Y,_T,Y15T64,_Z,A,4514.675
2022,AUT,LF,PS,_Z,Y,_T,Y15T64,_Z,A,4577.4
2023,AUT,LF,PS,_Z,Y,_T,Y15T64,_Z,A,4633.775
2018,BEL,LF,PS,_Z,Y,_T,Y15T64,_Z,A,5003.75
2019,BEL,LF,PS,_Z,Y,_T,Y15T64,_Z,A,5047.75
2020,BEL,LF,PS,_Z,Y,_T,Y15T64,_Z,A,5011.0
2021,BEL,LF,PS,_Z,Y,_T,Y15T64,_Z,A,5117.675
2022,BEL,LF,PS,_Z,Y,_T,Y15T64,_Z,A,5213.475
2023,BEL,LF,PS,_Z,Y,_T,Y15T64,_Z,A,5247.125
2018,COL,LF,PS,_Z,Y,_T,Y15T64,_Z,A,23140.67
2019,COL,LF,PS,_Z,Y,_T,Y15T64,_Z,A,23501.59
2020,COL,LF,PS,_Z,Y,_T,Y15T64,_Z,A,22589.38
2021,COL,LF,PS,_Z,Y,_T,Y15T64,_Z,A,22601.48
2022,COL,LF,PS,_Z,Y,_T,Y15T64,_Z,A,23596.18
2023,COL,LF,PS,_Z,Y,_T,Y15T64,_Z,A,24057.11
2018,CRI,LF,PS,_Z,Y,_T,Y15T64,_Z,A,2268.854
2019,CRI,LF,PS,_Z,Y,_T,Y15T64,_Z,A,2360.334
2020,CRI,LF,PS,_Z,Y,_T,Y15T64,_Z,A,2307.796
2021,CRI,LF,PS,_Z,Y,_T,Y15T64,_Z,A,2346.62
2022,CRI,LF,PS,_Z,Y,_T,Y15T64,_Z,A,2368.358
2023,CRI,LF,PS,_Z,Y,_T,Y15T64,_Z,A,2219.813
2022,CZE,LF,PS,_Z,Y,_T,Y15T64,_Z,A,5140.325
2023,CZE,LF,PS,_Z,Y,_T,Y15T64,_Z,A,5023.1
2021,DNK,LF,PS,_Z,Y,_T,Y15T64,_Z,A,2946.15
2022,DNK,LF,PS,_Z,Y,_T,Y15T64,_Z,A,2999.975
2023,DNK,LF,PS,_Z,Y,_T,Y15T64,_Z,A,3040.025
2018,EST,LF,PS,_Z,Y,_T,Y15T64,_Z,A,663.5
2019,EST,LF,PS,_Z,Y,_T,Y15T64,_Z,A,662.5
2020,EST,LF,PS,_Z,Y,_T,Y15T64,_Z,A,665.75
2021,EST,LF,PS,_Z,Y,_T,Y15T64,_Z,A,658.65
2022,EST,LF,PS,_Z,Y,_T,Y15T64,_Z,A,676.2
2023,EST,LF,PS,_Z,Y,_T,Y15T64,_Z,A,698.95
2018,FIN,LF,PS,_Z,Y,_T,Y15T64,_Z,A,2634.0
2019,FIN,LF,PS,_Z,Y,_T,Y15T64,_Z,A,2637.0
2020,FIN,LF,PS,_Z,Y,_T,Y15T64,_Z,A,2627.75
2021,FIN,LF,PS,_Z,Y,_T,Y15T64,_Z,A,2679.025
2022,FIN,LF,PS,_Z,Y,_T,Y15T64,_Z,A,2713.45
2023,FIN,LF,PS,_Z,Y,_T,Y15T64,_Z,A,2731.675
2018,FRA,LF,PS,_Z,Y,_T,Y15T64,_Z,A,29578.25
2019,FRA,LF,PS,_Z,Y,_T,Y15T64,_Z,A,29470.25
2020,FRA,LF,PS,_Z,Y,_T,Y15T64,_Z,A,29200.0
2018,GRC,LF,PS,_Z,Y,_T,Y15T64,_Z,A,4649.0
2019,GRC,LF,PS,_Z,Y,_T,Y15T64,_Z,A,4636.5
2020,GRC,LF,PS,_Z,Y,_T,Y15T64,_Z,A,4387.25
2021,GRC,LF,PS,_Z,Y,_T,Y15T64,_Z,A,4491.575
2022,GRC,LF,PS,_Z,Y,_T,Y15T64,_Z,A,4609.125
2023,GRC,LF,PS,_Z,Y,_T,Y15T64,_Z,A,4591.0
2021,ISL,LF,PS,_Z,Y,_T,Y15T64,_Z,A,197.95
2022,ISL,LF,PS,_Z,Y,_T,Y15T64,_Z,A,206.925
2023,ISL,LF,PS,_Z,Y,_T,Y15T64,_Z,A,215.425
2018,IRL,LF,PS,_Z,Y,_T,Y15T64,_Z,A,2312.0
2019,IRL,LF,PS,_Z,Y,_T,Y15T64,_Z,A,2355.25
2020,IRL,LF,PS,_Z,Y,_T,Y15T64,_Z,A,2302.75
2018,ISR,LF,PS,_Z,Y,_T,Y15T64,_Z,A,3836.4
