TIME_PERIOD,REF_AREA,MEASURE,SECTOR,STANDARD_REVENUE,CTRY_SPECIFIC_REVENUE,UNIT_MEASURE,FREQ,value
2014,NRU,TAX_REV,S13,T_1000,_T,PT_B1GQ,A,0.0
2014,COK,TAX_REV,S13,T_4000,_T,PT_B1GQ,A,0.0
2015,COK,TAX_REV,S13,T_4000,_T,PT_B1GQ,A,0.0
2016,COK,TAX_REV,S13,T_4000,_T,PT_B1GQ,A,0.0
2017,COK,TAX_REV,S13,T_4000,_T,PT_B1GQ,A,0.0
2018,COK,TAX_REV,S13,T_4000,_T,PT_B1GQ,A,0.0
2019,COK,TAX_REV,S13,T_4000,_T,PT_B1GQ,A,0.0
2020,COK,TAX_REV,S13,T_4000,_T,PT_B1GQ,A,0.0
2021,COK,TAX_REV,S13,T_4000,_T,PT_B1GQ,A,0.0
2022,COK,TAX_REV,S13,T_4000,_T,PT_B1GQ,A,0.0
2023,COK,TAX_REV,S13,T_4000,_T,PT_B1GQ,A,0.0
2014,CUB,TAX_REV,S13,T_4000,_T,PT_B1GQ,A,0.0
2015,CUB,TAX_REV,S13,T_4000,_T,PT_B1GQ,A,0.0
2016,CUB,TAX_REV,S13,T_4000,_T,PT_B1GQ,A,0.0
2017,CUB,TAX_REV,S13,T_4000,_T,PT_B1GQ,A,0.0
2018,CUB,TAX_REV,S13,T_4000,_T,PT_B1GQ,A,0.0
2019,CUB,TAX_REV,S13,T_4000,_T,PT_B1GQ,A,0.0
2020,CUB,TAX_REV,S13,T_4000,_T,PT_B1GQ,A,0.0
2021,CUB,TAX_REV,S13,T_4000,_T,PT_B1GQ,A,0.0
2022,CUB,TAX_REV,S13,T_4000,_T,PT_B1GQ,A,0.0
2023,CUB,TAX_REV,S13,T_4000,_T,PT_B1GQ,A,0.0
2014,NRU,TAX_REV,S13,T_4000,_T,PT_B1GQ,A,0.0
2015,NRU,TAX_REV,S13,T_4000,_T,PT_B1GQ,A,0.0
2016,NRU,TAX_REV,S13,T_4000,_T,PT_B1GQ,A,0.0
2017,NRU,TAX_REV,S13,T_4000,_T,PT_B1GQ,A,0.0
2018,NRU,TAX_REV,S13,T_4000,_T,PT_B1GQ,A,0.0
2019,NRU,TAX_REV,S13,T_4000,_T,PT_B1GQ,A,0.0
2020,NRU,TAX_REV,S13,T_4000,_T,PT_B1GQ,A,0.0
2021,NRU,TAX_REV,S13,T_4000,_T,PT_B1GQ,A,0.0
2022,NRU,TAX_REV,S13,T_4000,_T,PT_B1GQ,A,0.0
2023,NRU,TAX_REV,S13,T_4000,_T,PT_B1GQ,A,0.0
2014,NIU,TAX_REV,S13,T_4000,_T,PT_B1GQ,A,0.0
2015,NIU,TAX_REV,S13,T_4000,_T,PT_B1GQ,A,0.0
2016,NIU,TAX_REV,S13,T_4000,_T,PT_B1GQ,A,0.0
2017,NIU,TAX_REV,S13,T_4000,_T,PT_B1GQ,A,0.0
2018,NIU,TAX_REV,S13,T_4000,_T,PT_B1GQ,A,0.0
2019,NIU,TAX_REV,S13,T_4000,_T,PT_B1GQ,A,0.0
2020,NIU,TAX_REV,S13,T_4000,_T,PT_B1GQ,A,0.0
2021,NIU,TAX_REV,S13,T_4000,_T,PT_B1GQ,A,0.0
2022,NIU,TAX_REV,S13,T_4000,_T,PT_B1GQ,A,0.0
2023,NIU,TAX_REV,S13,T_4000,_T,PT_B1GQ,A,0.0
2014,WSM,TAX_REV,S13,T_4000,_T,PT_B1GQ,A,0.0
2015,WSM,TAX_REV,S13,T_4000,_T,PT_B1GQ,A,0.0
2016,WSM,TAX_REV,S13,T_4000,_T,PT_B1GQ,A,0.0
2017,WSM,TAX_REV,S13,T_4000,_T,PT_B1GQ,A,0.0
2018,WSM,TAX_REV,S13,T_4000,_T,PT_B1GQ,A,0.0
2019,WSM,TAX_REV,S13,T_4000,_T,PT_B1GQ,A,0.0
2020,WSM,TAX_REV,S13,T_4000,_T,PT_B1GQ,A,0.0
2021,WSM,TAX_REV,S13,T_4000,_T,PT_B1GQ,A,0.0
2022,WSM,TAX_REV,S13,T_4000,_T,PT_B1GQ,A,0.0
2023,WSM,TAX_REV,S13,T_4000,_T,PT_B1GQ,A,0.0
2015,SOM,TAX_REV,S13,T_4000,_T,PT_B1GQ,A,0.0
2016,SOM,TAX_REV,S13,T_4000,_T,PT_B1GQ,A,0.0
2014,LKA,TAX_REV,S13,T_4000,_T,PT_B1GQ,A,0.0
2015,LKA,TAX_REV,S13,T_4000,_T,PT_B1GQ,A,0.0
2016,LKA,TAX_REV,S13,T_4000,_T,PT_B1GQ,A,0.0
2017,LKA,TAX_REV,S13,T_4000,_T,PT_B1GQ,A,0.0
2018,LKA,TAX_REV,S13,T_4000,_T,PT_B1GQ,A,0.0
2019,LKA,TAX_REV,S13,T_4000,_T,PT_B1GQ,A,0.0
2020,LKA,TAX_REV,S13,T_4000,_T,PT_B1GQ,A,0.0
2021,LKA,TAX_REV,S13,T_4000,_T,PT_B1GQ,A,0.0
2022,LKA,TAX_REV,S13,T_4000,_T,PT_B1GQ,A,0.0
2023,LKA,TAX_REV,S13,T_4000,_T,PT_B1GQ,A,0.0
2014,TLS,TAX_REV,S13,T_4000,_T,PT_B1GQ,A,0.0
2015,TLS,TAX_REV,S13,T_4000,_T,PT_B1GQ,A,0.0
2016,TLS,TAX_REV,S13,T_4000,_T,PT_B1GQ,A,0.0
2017,TLS,TAX_REV,S13,T_4000,_T,PT_B1GQ,A,0.0
2018,TLS,TAX_REV,S13,T_4000,_T,PT_B1GQ,A,0.0
2019,TLS,TAX_REV,S13,T_4000,_T,PT_B1GQ,A,0.0
2020,TLS,TAX_REV,S13,T_4000,_T,PT_B1GQ,A,0.0
2021,TLS,TAX_REV,S13,T_4000,_T,PT_B1GQ,A,0.0
2022,TLS,TAX_REV,S13,T_4000,_T,PT_B1GQ,A,0.0
2023,TLS,TAX_REV,S13,T_4000,_T,PT_B1GQ,A,0.0
2014,TKL,TAX_REV,S13,T_4000,_T,PT_B1GQ,A,0.0
2015,TKL,TAX_REV,S13,T_4000,_T,PT_B1GQ,A,0.0
2016,TKL,TAX_REV,S13,T_4000,_T,PT_B1GQ,A,0.0
2017,TKL,TAX_REV,S13,T_4000,_T,PT_B1GQ,A,0.0
2018,TKL,TAX_REV,S13,T_4000,_T,PT_B1GQ,A,0.0
2019,TKL,TAX_REV,S13,T_4000,_T,PT_B1GQ,A,0.0
2020,TKL,TAX_REV,S13,T_4000,_T,PT_B1GQ,A,0.0
2021,TKL,TAX_REV,S13,T_4000,_T,PT_B1GQ,A,0.0
2022,TKL,TAX_REV,S13,T_4000,_T,PT_B1GQ,A,0.0
2023,TKL,TAX_REV,S13,T_4000,_T,PT_B1GQ,A,0.0
2014,COK,TAX_REV,S13,T_2000,_T,PT_B1GQ,A,0.0
2015,COK,TAX_REV,S13,T_2000,_T,PT_B1GQ,A,0.0
2016,COK,TAX_REV,S13,T_2000,_T,PT_B1GQ,A,0.0
2017,COK,TAX_REV,S13,T_2000,_T,PT_B1GQ,A,0.0
2018,COK,TAX_REV,S13,T_2000,_T,PT_B1GQ,A,0.0
2019,COK,TAX_REV,S13,T_2000,_T,PT_B1GQ,A,0.0
2020,COK,TAX_REV,S13,T_2000,_T,PT_B1GQ,A,0.0
2021,COK,TAX_REV,S13,T_2000,_T,PT_B1GQ,A,0.0
2022,COK,TAX_REV,S13,T_2000,_T,PT_B1GQ,A,0.0
2023,COK,TAX_REV,S13,T_2000,_T,PT_B1GQ,A,0.0
2014,NRU,TAX_REV,S13,T_2000,_T,PT_B1GQ,A,0.0
2015,NRU,TAX_REV,S13,T_2000,_T,PT_B1GQ,A,0.0
2016,NRU,TAX_REV,S13,T_2000,_T,PT_B1GQ,A,0.0
2017,NRU,TAX_REV,S13,T_2000,_T,PT_B1GQ,A,0.0
2018,NRU,TAX_REV,S13,T_2000,_T,PT_B1GQ,A,0.0
2019,NRU,TAX_REV,S13,T_2000,_T,PT_B1GQ,A,0.0
2020,NRU,TAX_REV,S13,T_2000,_T,PT_B1GQ,A,0.0
2021,NRU,TAX_REV,S13,T_2000,_T,PT_B1GQ,A,0.0
2022,NRU,TAX_REV,S13,T_2000,_T,PT_B1GQ,A,0.0
2023,NRU,TAX_REV,S13,T_2000,_T,PT_B1GQ,A,0.0
2014,NIU,TAX_REV,S13,T_2000,_T,PT_B1GQ,A,0.0
2015,NIU,TAX_REV,S13,T_2000,_T,PT_B1GQ,A,0.0
