TIME_PERIOD,FREQ,REF_AREA,SECTOR,COUNTERPART_SECTOR,TRANSACTION,INSTR_ASSET,ACTIVITY,EXPENDITURE,UNIT_MEASURE,PRICE_BASE,TRANSFORMATION,TABLE_IDENTIFIER
1990,Annual,Albania,Total economy,Total economy,"Value added, gross",Not applicable,Total,Not applicable,Percentage change,Laspeyres,"Growth rate, period on period",T0101
1991,,Argentina,,,"Value added, gross, excluding FISIM",,,,,,,
1992,,Australia,,,,,,,,,,
1993,,Austria,,,,,,,,,,
1994,,Belgium,,,,,,,,,,
1995,,Brazil,,,,,,,,,,
1996,,Bulgaria,,,,,,,,,,
1997,,Chile,,,,,,,,,,
1998,,China (People’s Republic of),,,,,,,,,,
1999,,Colombia,,,,,,,,,,
2000,,Croatia,,,,,,,,,,
2001,,Cyprus,,,,,,,,,,
2002,,Czechia,,,,,,,,,,
2003,,Denmark,,,,,,,,,,
2004,,Estonia,,,,,,,,,,
2005,,Euro area (20 countries),,,,,,,,,,
2006,,European Union (27 countries from 01/02/2020),,,,,,,,,,
2007,,Finland,,,,,,,,,,
2008,,Former Federal Republic of Germany,,,,,,,,,,
2009,,France,,,,,,,,,,
2010,,Germany,,,,,,,,,,
2011,,Greece,,,,,,,,,,
2012,,Hungary,,,,,,,,,,
2013,,India,,,,,,,,,,
2014,,Indonesia,,,,,,,,,,
2015,,Israel,,,,,,,,,,
2016,,Italy,,,,,,,,,,
2017,,Japan,,,,,,,,,,
2018,,Korea,,,,,,,,,,
2019,,Latvia,,,,,,,,,,
2020,,Lithuania,,,,,,,,,,
2021,,Luxembourg,,,,,,,,,,
2022,,Malta,,,,,,,,,,
2023,,Mexico,,,,,,,,,,
,,Netherlands,,,,,,,,,,
,,New Zealand,,,,,,,,,,
,,North Macedonia,,,,,,,,,,
,,Norway,,,,,,,,,,
,,Poland,,,,,,,,,,
,,Portugal,,,,,,,,,,
,,Romania,,,,,,,,,,
,,Russia,,,,,,,,,,
,,Serbia,,,,,,,,,,
,,Slovak Republic,,,,,,,,,,
,,Slovenia,,,,,,,,,,
,,South Africa,,,,,,,,,,
,,Spain,,,,,,,,,,
,,Sweden,,,,,,,,,,
,,Switzerland,,,,,,,,,,
,,Türkiye,,,,,,,,,,
,,United Kingdom,,,,,,,,,,
