TIME_PERIOD,REF_AREA,MEASURE,UNIT_MEASURE,TRANSFORMATION,ADJUSTMENT,SEX,AGE,ACTIVITY,FREQ
1990,Australia,Labour force,Persons,Not applicable,Calendar and seasonally adjusted,Total,From 15 to 64 years,Not applicable,Annual
1991,Austria,,,,,,,,
1992,Belgium,,,,,,,,
1993,Bulgaria,,,,,,,,
1994,Canada,,,,,,,,
1995,Chile,,,,,,,,
1996,Colombia,,,,,,,,
1997,Costa Rica,,,,,,,,
1998,Croatia,,,,,,,,
1999,Czechia,,,,,,,,
2000,Denmark,,,,,,,,
2001,Estonia,,,,,,,,
2002,Euro area (20 countries),,,,,,,,
2003,European Union (27 countries from 01/02/2020),,,,,,,,
2004,Finland,,,,,,,,
2005,France,,,,,,,,
2006,G7,,,,,,,,
2007,Germany,,,,,,,,
2008,Greece,,,,,,,,
2009,Hungary,,,,,,,,
2010,Iceland,,,,,,,,
2011,Ireland,,,,,,,,
2012,Israel,,,,,,,,
2013,Italy,,,,,,,,
2014,Japan,,,,,,,,
2015,Korea,,,,,,,,
2016,Latvia,,,,,,,,
2017,Lithuania,,,,,,,,
2018,Luxembourg,,,,,,,,
2019,Mexico,,,,,,,,
2020,Netherlands,,,,,,,,
2021,New Zealand,,,,,,,,
2022,Norway,,,,,,,,
2023,OECD,,,,,,,,
,Poland,,,,,,,,
,Portugal,,,,,,,,
,Romania,,,,,,,,
,Russia,,,,,,,,
,Slovak Republic,,,,,,,,
,Slovenia,,,,,,,,
,South Africa,,,,,,,,
,Spain,,,,,,,,
,Sweden,,,,,,,,
,Switzerland,,,,,,,,
,Türkiye,,,,,,,,
,United Kingdom,,,,,,,,
,United States,,,,,,,,
