TIME_PERIOD,REF_AREA,MEASURE,SECTOR,STANDARD_REVENUE,CTRY_SPECIFIC_REVENUE,UNIT_MEASURE,FREQ,value
1990,CPV,TAX_REV,S13,T_2000,_T,PT_B1GQ,A,0.0
1991,CPV,TAX_REV,S13,T_2000,_T,PT_B1GQ,A,0.0
1992,CPV,TAX_REV,S13,T_2000,_T,PT_B1GQ,A,0.0
1993,CPV,TAX_REV,S13,T_2000,_T,PT_B1GQ,A,0.0
1994,CPV,TAX_REV,S13,T_2000,_T,PT_B1GQ,A,0.0
1995,CPV,TAX_REV,S13,T_2000,_T,PT_B1GQ,A,0.0
1996,CPV,TAX_REV,S13,T_2000,_T,PT_B1GQ,A,0.0
1997,CPV,TAX_REV,S13,T_2000,_T,PT_B1GQ,A,0.0
1998,CPV,TAX_REV,S13,T_2000,_T,PT_B1GQ,A,0.0
1999,CPV,TAX_REV,S13,T_2000,_T,PT_B1GQ,A,0.0
2000,SGP,TAX_REV,S13,T_2000,_T,PT_B1GQ,A,0.0
2001,SGP,TAX_REV,S13,T_2000,_T,PT_B1GQ,A,0.0
2002,SGP,TAX_REV,S13,T_2000,_T,PT_B1GQ,A,0.0
2003,SGP,TAX_REV,S13,T_2000,_T,PT_B1GQ,A,0.0
2004,SGP,TAX_REV,S13,T_2000,_T,PT_B1GQ,A,0.0
2005,SGP,TAX_REV,S13,T_2000,_T,PT_B1GQ,A,0.0
2006,SGP,TAX_REV,S13,T_2000,_T,PT_B1GQ,A,0.0
2007,SGP,TAX_REV,S13,T_2000,_T,PT_B1GQ,A,0.0
2008,SGP,TAX_REV,S13,T_2000,_T,PT_B1GQ,A,0.0
2009,SGP,TAX_REV,S13,T_2000,_T,PT_B1GQ,A,0.0
2010,SGP,TAX_REV,S13,T_2000,_T,PT_B1GQ,A,0.0
2011,SGP,TAX_REV,S13,T_2000,_T,PT_B1GQ,A,0.0
2012,SGP,TAX_REV,S13,T_2000,_T,PT_B1GQ,A,0.0
2013,SGP,TAX_REV,S13,T_2000,_T,PT_B1GQ,A,0.0
2014,SGP,TAX_REV,S13,T_2000,_T,PT_B1GQ,A,0.0
2015,SGP,TAX_REV,S13,T_2000,_T,PT_B1GQ,A,0.0
2016,SGP,TAX_REV,S13,T_2000,_T,PT_B1GQ,A,0.0
2017,SGP,TAX_REV,S13,T_2000,_T,PT_B1GQ,A,0.0
2018,SGP,TAX_REV,S13,T_2000,_T,PT_B1GQ,A,0.0
2019,SGP,TAX_REV,S13,T_2000,_T,PT_B1GQ,A,0.0
