TIME_PERIOD,REF_AREA,MEASURE,SECTOR,STANDARD_REVENUE,CTRY_SPECIFIC_REVENUE,UNIT_MEASURE,FREQ
1990,Africa,Tax revenue,General government,Social security contributions (SSC),Total,Percentage of GDP,Annual
1991,Antigua and Barbuda,,,Taxes on goods and services,,,
1992,Argentina,,,"Taxes on income, profits and capital gains of individuals and corporations",,,
1993,Armenia,,,Taxes on property,,,
1994,Asia and the Pacific,,,Total tax revenue,,,
1995,Australia,,,,,,
1996,Austria,,,,,,
1997,Azerbaijan,,,,,,
1998,Bahamas,,,,,,
1999,Bangladesh,,,,,,
2000,Barbados,,,,,,
2001,Belgium,,,,,,
2002,Belize,,,,,,
2003,Bhutan,,,,,,
2004,Bolivia,,,,,,
2005,Botswana,,,,,,
2006,Brazil,,,,,,
2007,Bulgaria,,,,,,
2008,Burkina Faso,,,,,,
2009,Cabo Verde,,,,,,
2010,Cambodia,,,,,,
2011,Cameroon,,,,,,
2012,Canada,,,,,,
2013,Chad,,,,,,
2014,Chile,,,,,,
2015,China (People’s Republic of),,,,,,
2016,Colombia,,,,,,
2017,Congo,,,,,,
2018,Cook Islands,,,,,,
2019,Costa Rica,,,,,,
2020,Croatia,,,,,,
2021,Cuba,,,,,,
2022,Czechia,,,,,,
2023,Côte d’Ivoire,,,,,,
,Democratic Republic of the Congo,,,,,,
,Denmark,,,,,,
,Dominican Republic,,,,,,
,Ecuador,,,,,,
,Egypt,,,,,,
,El Salvador,,,,,,
,Equatorial Guinea,,,,,,
,Estonia,,,,,,
,Eswatini,,,,,,
,Fiji,,,,,,
,Finland,,,,,,
,France,,,,,,
,Gabon,,,,,,
,Georgia,,,,,,
,Germany,,,,,,
,Ghana,,,,,,
,Greece,,,,,,
,Guatemala,,,,,,
,Guinea,,,,,,
,Guyana,,,,,,
,Honduras,,,,,,
,Hong Kong (China),,,,,,
,Hungary,,,,,,
,Iceland,,,,,,
,Indonesia,,,,,,
,Ireland,,,,,,
,Israel,,,,,,
,Italy,,,,,,
,Jamaica,,,,,,
,Japan,,,,,,
,Kazakhstan,,,,,,
,Kenya,,,,,,
,Kiribati,,,,,,
,Korea,,,,,,
,Kyrgyzstan,,,,,,
,Lao People’s Democratic Republic,,,,,,
,Latin America and the Caribbean,,,,,,
,Latvia,,,,,,
,Lesotho,,,,,,
,Liechtenstein,,,,,,
,Lithuania,,,,,,
,Luxembourg,,,,,,
,Madagascar,,,,,,
,Malawi,,,,,,
,Malaysia,,,,,,
,Maldives,,,,,,
,Mali,,,,,,
,Malta,,,,,,
,Marshall Islands,,,,,,
,Mauritania,,,,,,
,Mauritius,,,,,,
,Mexico,,,,,,
,Moldova,,,,,,
,Mongolia,,,,,,
,Morocco,,,,,,
,Mozambique,,,,,,
,Namibia,,,,,,
,Nauru,,,,,,
,Netherlands,,,,,,
,New Zealand,,,,,,
,Nicaragua,,,,,,
,Niger,,,,,,
,Nigeria,,,,,,
,Niue,,,,,,
,Norway,,,,,,
,OECD average country,,,,,,
,Pakistan,,,,,,
,Panama,,,,,,
,Papua New Guinea,,,,,,
,Paraguay,,,,,,
,Peru,,,,,,
,Philippines,,,,,,
,Poland,,,,,,
,Portugal,,,,,,
,Romania,,,,,,
,Rwanda,,,,,,
,Saint Lucia,,,,,,
,Samoa,,,,,,
,Senegal,,,,,,
,Seychelles,,,,,,
,Sierra Leone,,,,,,
,Singapore,,,,,,
,Slovak Republic,,,,,,
,Slovenia,,,,,,
,Solomon Islands,,,,,,
,Somalia,,,,,,
,South Africa,,,,,,
,Spain,,,,,,
,Sri Lanka,,,,,,
,Sweden,,,,,,
,Switzerland,,,,,,
,Thailand,,,,,,
,Timor-Leste,,,,,,
,Togo,,,,,,
,Tokelau,,,,,,
,Trinidad and Tobago,,,,,,
,Tunisia,,,,,,
,Türkiye,,,,,,
,Uganda,,,,,,
,Ukraine,,,,,,
,United Kingdom,,,,,,
,United States,,,,,,
,Uruguay,,,,,,
,Vanuatu,,,,,,
,Venezuela,,,,,,
,Viet Nam,,,,,,
,Zambia,,,,,,
