TIME_PERIOD,FREQ,REF_AREA,SECTOR,COUNTERPART_SECTOR,TRANSACTION,INSTR_ASSET,ACTIVITY,EXPENDITURE,UNIT_MEASURE,PRICE_BASE,TRANSFORMATION,TABLE_IDENTIFIER,value
2017,A,AUT,S1,S1,B1G,_Z,_T,_Z,PC,L,G1,T0101,2.39765
2017,A,BEL,S1,S1,B1G,_Z,_T,_Z,PC,L,G1,T0101,1.426761
2017,A,CHL,S1,S1,B1G,_Z,_T,_Z,PC,L,G1,T0101,1.100599
2017,A,COL,S1,S1,B1G,_Z,_T,_Z,PC,L,G1,T0101,1.385201
2017,A,CZE,S1,S1,B1G,_Z,_T,_Z,PC,L,G1,T0101,5.206433
2017,A,DNK,S1,S1,B1G,_Z,_T,_Z,PC,L,G1,T0101,3.21202
2017,A,EST,S1,S1,B1G,_Z,_T,_Z,PC,L,G1,T0101,6.500209
2017,A,FIN,S1,S1,B1G,_Z,_T,_Z,PC,L,G1,T0101,3.753124
2017,A,FRA,S1,S1,B1G,_Z,_T,_Z,PC,L,G1,T0101,1.955103
2017,A,DEU,S1,S1,B1G,_Z,_T,_Z,PC,L,G1,T0101,2.797553
2017,A,GRC,S1,S1,B1G,_Z,_T,_Z,PC,L,G1,T0101,2.246011
2017,A,ITA,S1,S1,B1G,_Z,_T,_Z,PC,L,G1,T0101,1.842617
2017,A,JPN,S1,S1,B1G,_Z,_T,_Z,PC,L,G1,T0101,1.997942
2017,A,KOR,S1,S1,B1G,_Z,_T,_Z,PC,L,G1,T0101,3.501635
2017,A,LTU,S1,S1,B1G,_Z,_T,_Z,PC,L,G1,T0101,4.612244
2017,A,LUX,S1,S1,B1G,_Z,_T,_Z,PC,L,G1,T0101,0.908442
2017,A,ESP,S1,S1,B1G,_Z,_T,_Z,PC,L,G1,T0101,3.025163
2017,A,CHE,S1,S1,B1G,_Z,_T,_Z,PC,L,G1,T0101,1.366688
2017,A,GBR,S1,S1,B1G,_Z,_T,_Z,PC,L,G1,T0101,2.749128
2017,A,EA20,S1,S1,B1G,_Z,_T,_Z,PC,L,G1,T0101,2.681314
2017,A,ALB,S1,S1,B1G,_Z,_T,_Z,PC,L,G1,T0101,3.829585
2017,A,ARG,S1,S1,B1G,_Z,_T,_Z,PC,L,G1,T0101,2.571828
2017,A,BRA,S1,S1,B1G,_Z,_T,_Z,PC,L,G1,T0101,1.254211
2017,A,BGR,S1,S1,B1G,_Z,_T,_Z,PC,L,G1,T0101,3.281059
2017,A,CHN,S1,S1,B1G,_Z,_T,_Z,PC,L,G1,T0101,6.947196
2017,A,HRV,S1,S1,B1G,_Z,_T,_Z,PC,L,G1,T0101,2.799829
2017,A,CYP,S1,S1,B1G,_Z,_T,_Z,PC,L,G1,T0101,5.749696
2017,A,IND,S1,S1,B1G,_Z,_T,_Z,PC,L,G1,T0101,6.231181
2017,A,IDN,S1,S1,B1G,_Z,_T,_Z,PC,L,G1,T0101,4.765614
2015,A,AUT,S1,S1,B1G,_Z,_T,_Z,PC,L,G1,T0101,1.076642
2015,A,BEL,S1,S1,B1G,_Z,_T,_Z,PC,L,G1,T0101,1.545492
2015,A,CHL,S1,S1,B1G,_Z,_T,_Z,PC,L,G1,T0101,2.1659
2015,A,COL,S1,S1,B1G,_Z,_T,_Z,PC,L,G1,T0101,3.077613
2015,A,CZE,S1,S1,B1G,_Z,_T,_Z,PC,L,G1,T0101,4.34994
2015,A,DNK,S1,S1,B1G,_Z,_T,_Z,PC,L,G1,T0101,1.954023
2015,A,EST,S1,S1,B1G,_Z,_T,_Z,PC,L,G1,T0101,1.605991
2015,A,FIN,S1,S1,B1G,_Z,_T,_Z,PC,L,G1,T0101,0.306328
2015,A,FRA,S1,S1,B1G,_Z,_T,_Z,PC,L,G1,T0101,0.819445
2015,A,DEU,S1,S1,B1G,_Z,_T,_Z,PC,L,G1,T0101,1.437051
2015,A,GRC,S1,S1,B1G,_Z,_T,_Z,PC,L,G1,T0101,0.007051
2015,A,ITA,S1,S1,B1G,_Z,_T,_Z,PC,L,G1,T0101,0.93213
2015,A,JPN,S1,S1,B1G,_Z,_T,_Z,PC,L,G1,T0101,1.654444
2015,A,KOR,S1,S1,B1G,_Z,_T,_Z,PC,L,G1,T0101,2.850883
2015,A,LTU,S1,S1,B1G,_Z,_T,_Z,PC,L,G1,T0101,2.832806
2015,A,LUX,S1,S1,B1G,_Z,_T,_Z,PC,L,G1,T0101,4.620495
2015,A,ESP,S1,S1,B1G,_Z,_T,_Z,PC,L,G1,T0101,3.537208
2015,A,CHE,S1,S1,B1G,_Z,_T,_Z,PC,L,G1,T0101,1.62434
2015,A,GBR,S1,S1,B1G,_Z,_T,_Z,PC,L,G1,T0101,1.967275
2015,A,EA20,S1,S1,B1G,_Z,_T,_Z,PC,L,G1,T0101,1.983788
2015,A,ALB,S1,S1,B1G,_Z,_T,_Z,PC,L,G1,T0101,2.274674
2015,A,ARG,S1,S1,B1G,_Z,_T,_Z,PC,L,G1,T0101,2.695014
2015,A,BRA,S1,S1,B1G,_Z,_T,_Z,PC,L,G1,T0101,-3.150078
2015,A,BGR,S1,S1,B1G,_Z,_T,_Z,PC,L,G1,T0101,2.943036
2015,A,CHN,S1,S1,B1G,_Z,_T,_Z,PC,L,G1,T0101,7.041319
2015,A,HRV,S1,S1,B1G,_Z,_T,_Z,PC,L,G1,T0101,2.259631
2015,A,CYP,S1,S1,B1G,_Z,_T,_Z,PC,L,G1,T0101,3.260064
2015,A,IND,S1,S1,B1G,_Z,_T,_Z,PC,L,G1,T0101,8.028489
2015,A,IDN,S1,S1,B1G,_Z,_T,_Z,PC,L,G1,T0101,4.168977
2016,A,AUT,S1,S1,B1G,_Z,_T,_Z,PC,L,G1,T0101,2.080865
2016,A,BEL,S1,S1,B1G,_Z,_T,_Z,PC,L,G1,T0101,0.869053
2016,A,CHL,S1,S1,B1G,_Z,_T,_Z,PC,L,G1,T0101,1.673532
2016,A,COL,S1,S1,B1G,_Z,_T,_Z,PC,L,G1,T0101,2.18892
2016,A,CZE,S1,S1,B1G,_Z,_T,_Z,PC,L,G1,T0101,2.54623
2016,A,DNK,S1,S1,B1G,_Z,_T,_Z,PC,L,G1,T0101,2.980536
2016,A,EST,S1,S1,B1G,_Z,_T,_Z,PC,L,G1,T0101,2.811192
2016,A,FIN,S1,S1,B1G,_Z,_T,_Z,PC,L,G1,T0101,2.329581
2016,A,FRA,S1,S1,B1G,_Z,_T,_Z,PC,L,G1,T0101,0.679719
2016,A,DEU,S1,S1,B1G,_Z,_T,_Z,PC,L,G1,T0101,2.381686
2016,A,GRC,S1,S1,B1G,_Z,_T,_Z,PC,L,G1,T0101,-0.346889
2016,A,ITA,S1,S1,B1G,_Z,_T,_Z,PC,L,G1,T0101,1.367067
