TIME_PERIOD,FREQ,REF_AREA,SECTOR,COUNTERPART_SECTOR,TRANSACTION,INSTR_ASSET,ACTIVITY,EXPENDITURE,UNIT_MEASURE,PRICE_BASE,TRANSFORMATION,TABLE_IDENTIFIER,value
2023,A,ROU,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,N,T0102,931161.933
2017,A,AUS,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,N,T0102,1246686.244
2018,A,AUS,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,N,T0102,1324343.765
2023,A,PRT,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,N,T0102,501686.055
1993,A,CHN,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,N,T0102,1733767.567
2015,A,AUS,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,N,T0102,1124712.024
2012,A,AUS,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,N,T0102,998153.274
2022,A,AUS,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,N,T0102,1888029.01
2019,A,AUS,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,N,T0102,1357998.246
1997,A,AUS,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,N,T0102,450962.701
1998,A,AUS,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,N,T0102,478691.653
2013,A,AUS,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,N,T0102,1105181.029
2021,A,ZAF,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,N,T0102,841475.835
2017,A,AUT,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,N,T0102,473923.564
2006,A,AUT,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,N,T0102,309214.459
2007,A,AUT,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,N,T0102,325131.677
1996,A,AUS,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,N,T0102,424472.904
2002,A,AUS,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,N,T0102,600908.415
