TIME_PERIOD,REF_AREA,MEASURE,UNIT_MEASURE,TRANSFORMATION,ADJUSTMENT,SEX,AGE,ACTIVITY,FREQ
1990,AUS,LF,PS,_Z,Y,_T,Y15T64,_Z,A
1991,AUT,,,,,,,,
1992,BEL,,,,,,,,
1993,BGR,,,,,,,,
1994,CAN,,,,,,,,
1995,CHE,,,,,,,,
1996,CHL,,,,,,,,
1997,COL,,,,,,,,
1998,CRI,,,,,,,,
1999,CZE,,,,,,,,
2000,DEU,,,,,,,,
2001,DNK,,,,,,,,
2002,EA20,,,,,,,,
2003,ESP,,,,,,,,
2004,EST,,,,,,,,
2005,EU27_2020,,,,,,,,
2006,FIN,,,,,,,,
2007,FRA,,,,,,,,
2008,G7,,,,,,,,
2009,GBR,,,,,,,,
2010,GRC,,,,,,,,
2011,HRV,,,,,,,,
2012,HUN,,,,,,,,
2013,IRL,,,,,,,,
2014,ISL,,,,,,,,
2015,ISR,,,,,,,,
2016,ITA,,,,,,,,
2017,JPN,,,,,,,,
2018,KOR,,,,,,,,
2019,LTU,,,,,,,,
2020,LUX,,,,,,,,
2021,LVA,,,,,,,,
2022,MEX,,,,,,,,
2023,NLD,,,,,,,,
,NOR,,,,,,,,
,NZL,,,,,,,,
,OECD,,,,,,,,
,POL,,,,,,,,
,PRT,,,,,,,,
,ROU,,,,,,,,
,RUS,,,,,,,,
,SVK,,,,,,,,
,SVN,,,,,,,,
,SWE,,,,,,,,
,TUR,,,,,,,,
,USA,,,,,,,,
,ZAF,,,,,,,,
