TIME_PERIOD,FREQ,REF_AREA,SECTOR,COUNTERPART_SECTOR,TRANSACTION,INSTR_ASSET,ACTIVITY,EXPENDITURE,UNIT_MEASURE,PRICE_BASE,TRANSFORMATION,TABLE_IDENTIFIER,value
2010,A,NZL,S1,S1,POP,_Z,_Z,_Z,PS,_Z,N,T0110,4362.8
2010,A,ISR,S1,S1,POP,_Z,_Z,_Z,PS,_Z,N,T0110,7761.05
2010,A,FRA,S1,S1,POP,_Z,_Z,_Z,PS,_Z,N,T0110,64748.0
2010,A,BEL,S1,S1,POP,_Z,_Z,_Z,PS,_Z,N,T0110,10895.6
1990,A,FIN,S1,S1,POP,_Z,_Z,_Z,PS,_Z,N,T0110,4986.4
1990,A,DNK,S1,S1,POP,_Z,_Z,_Z,PS,_Z,N,T0110,5140.29
1990,A,CRI,S1,S1,POP,_Z,_Z,_Z,PS,_Z,N,T0110,3029.093
1990,A,CHL,S1,S1,POP,_Z,_Z,_Z,PS,_Z,N,T0110,13178.782
1990,A,CAN,S1,S1,POP,_Z,_Z,_Z,PS,_Z,N,T0110,27691.138
1990,A,AUS,S1,S1,POP,_Z,_Z,_Z,PS,_Z,N,T0110,17065.1
1990,A,ZAF,S1,S1,POP,_Z,_Z,_Z,PS,_Z,N,T0110,36146.1228
1990,A,SGP,S1,S1,POP,_Z,_Z,_Z,PS,_Z,N,T0110,3047.0
1990,A,RUS,S1,S1,POP,_Z,_Z,_Z,PS,_Z,N,T0110,147969.41
1990,A,IDN,S1,S1,POP,_Z,_Z,_Z,PS,_Z,N,T0110,177325.69
1990,A,CHN,S1,S1,POP,_Z,_Z,_Z,PS,_Z,N,T0110,1143330.0
1990,A,USA,S1,S1,POP,_Z,_Z,_Z,PS,_Z,N,T0110,250181.0
1990,A,TUR,S1,S1,POP,_Z,_Z,_Z,PS,_Z,N,T0110,55120.0
1990,A,CHE,S1,S1,POP,_Z,_Z,_Z,PS,_Z,N,T0110,6796.279
1990,A,ESP,S1,S1,POP,_Z,_Z,_Z,PS,_Z,N,T0110,39342.191817
1990,A,NOR,S1,S1,POP,_Z,_Z,_Z,PS,_Z,N,T0110,4241.0
1990,A,NZL,S1,S1,POP,_Z,_Z,_Z,PS,_Z,N,T0110,3373.0
1990,A,KOR,S1,S1,POP,_Z,_Z,_Z,PS,_Z,N,T0110,42869.0
1990,A,JPN,S1,S1,POP,_Z,_Z,_Z,PS,_Z,N,T0110,123611.0
1990,A,ITA,S1,S1,POP,_Z,_Z,_Z,PS,_Z,N,T0110,56719.2
1990,A,IRL,S1,S1,POP,_Z,_Z,_Z,PS,_Z,N,T0110,3506.0
1990,A,ISL,S1,S1,POP,_Z,_Z,_Z,PS,_Z,N,T0110,254.788
1990,A,DEU,S1,S1,POP,_Z,_Z,_Z,PS,_Z,N,T0110,79364.0
1992,A,PRT,S1,S1,POP,_Z,_Z,_Z,PS,_Z,N,T0110,9962.7
1992,A,NOR,S1,S1,POP,_Z,_Z,_Z,PS,_Z,N,T0110,4286.0
1992,A,KOR,S1,S1,POP,_Z,_Z,_Z,PS,_Z,N,T0110,43748.0
1992,A,JPN,S1,S1,POP,_Z,_Z,_Z,PS,_Z,N,T0110,124567.0
1992,A,ITA,S1,S1,POP,_Z,_Z,_Z,PS,_Z,N,T0110,56797.1
1992,A,IRL,S1,S1,POP,_Z,_Z,_Z,PS,_Z,N,T0110,3555.0
1992,A,ISL,S1,S1,POP,_Z,_Z,_Z,PS,_Z,N,T0110,261.1
1992,A,DEU,S1,S1,POP,_Z,_Z,_Z,PS,_Z,N,T0110,80500.0
1992,A,FIN,S1,S1,POP,_Z,_Z,_Z,PS,_Z,N,T0110,5042.0
1992,A,DNK,S1,S1,POP,_Z,_Z,_Z,PS,_Z,N,T0110,5171.046
1992,A,CRI,S1,S1,POP,_Z,_Z,_Z,PS,_Z,N,T0110,3168.612
