TIME_PERIOD,FREQ,REF_AREA,SECTOR,COUNTERPART_SECTOR,TRANSACTION,INSTR_ASSET,ACTIVITY,EXPENDITURE,UNIT_MEASURE,PRICE_BASE,TRANSFORMATION,TABLE_IDENTIFIER
1990,A,ALB,S1,S1,POP,_Z,_Z,_Z,PS,_Z,N,T0110
1991,,ARG,,,,,,,,,,
1992,,AUS,,,,,,,,,,
1993,,AUT,,,,,,,,,,
1994,,BEL,,,,,,,,,,
1995,,BGR,,,,,,,,,,
1996,,BRA,,,,,,,,,,
1997,,CAN,,,,,,,,,,
1998,,CHE,,,,,,,,,,
1999,,CHL,,,,,,,,,,
2000,,CHN,,,,,,,,,,
2001,,CMR,,,,,,,,,,
2002,,COL,,,,,,,,,,
2003,,CPV,,,,,,,,,,
2004,,CRI,,,,,,,,,,
2005,,CYP,,,,,,,,,,
2006,,CZE,,,,,,,,,,
2007,,DEU,,,,,,,,,,
2008,,DEU_F,,,,,,,,,,
2009,,DNK,,,,,,,,,,
2010,,EA20,,,,,,,,,,
2011,,ESP,,,,,,,,,,
2012,,EST,,,,,,,,,,
2013,,EU15,,,,,,,,,,
2014,,EU27_2020,,,,,,,,,,
2015,,FIN,,,,,,,,,,
2016,,FRA,,,,,,,,,,
2017,,GBR,,,,,,,,,,
2018,,GEO,,,,,,,,,,
2019,,GRC,,,,,,,,,,
2020,,HKG,,,,,,,,,,
2021,,HRV,,,,,,,,,,
2022,,HUN,,,,,,,,,,
2023,,IDN,,,,,,,,,,
,,IND,,,,,,,,,,
,,IRL,,,,,,,,,,
,,ISL,,,,,,,,,,
,,ISR,,,,,,,,,,
,,ITA,,,,,,,,,,
,,JPN,,,,,,,,,,
,,KAZ,,,,,,,,,,
,,KOR,,,,,,,,,,
,,LTU,,,,,,,,,,
,,LUX,,,,,,,,,,
,,LVA,,,,,,,,,,
,,MAR,,,,,,,,,,
,,MDG,,,,,,,,,,
,,MEX,,,,,,,,,,
,,MKD,,,,,,,,,,
,,MLT,,,,,,,,,,
,,NLD,,,,,,,,,,
,,NOR,,,,,,,,,,
,,NZL,,,,,,,,,,
,,OECD,,,,,,,,,,
,,OECD26,,,,,,,,,,
,,OECDE,,,,,,,,,,
,,POL,,,,,,,,,,
,,PRT,,,,,,,,,,
,,ROU,,,,,,,,,,
,,RUS,,,,,,,,,,
,,SAU,,,,,,,,,,
,,SEN,,,,,,,,,,
,,SGP,,,,,,,,,,
,,SRB,,,,,,,,,,
,,SVK,,,,,,,,,,
,,SVN,,,,,,,,,,
,,SWE,,,,,,,,,,
,,TUR,,,,,,,,,,
,,USA,,,,,,,,,,
,,ZAF,,,,,,,,,,
,,ZMB,,,,,,,,,,
