country,growth_rate
China (People’s Republic of),10.375632090486143
Georgia,9.605563917474795
Romania,8.366471705684317
Lithuania,8.10771819063199
Latvia,7.730786627343875
Estonia,7.416884915986813
Ireland,7.2484661596876805
Croatia,6.427691062240717
Poland,6.261459284565305
Chile,6.133116139601584
Bulgaria,6.055498271439871
Slovak Republic,6.017198622115892
Korea,5.889527081947561
Norway,5.772519398502077
Singapore,5.742442948814191
Hungary,5.4761606002537455
Türkiye,5.379163061680972
Malta,5.248976339304132
Costa Rica,5.175047660586171
Slovenia,5.103219049889181
Luxembourg,4.906040198670854
Argentina,4.898524717750732
Colombia,4.521073695724325
Czechia,4.481402949206916
Australia,4.426438135951585
Portugal,4.38034579759895
Denmark,4.35425982897753
Netherlands,4.348958726415497
Spain,4.338253143057315
Hong Kong (China),4.307769567913389
Cameroon,4.08474577222805
Iceland,4.079121251119786
Belgium,4.076164590234074
New Zealand,4.062523378816801
Austria,4.023840396690067
Indonesia,4.0176457116744135
Germany,3.8883843627715087
United States,3.851175148068937
Finland,3.8408293433761167
United Kingdom,3.824342002322489
Mexico,3.7731405455066667
France,3.7474436233100024
Sweden,3.6730248441701585
Switzerland,3.650505168502515
Canada,3.640741993088886
Greece,3.636922760483178
Israel,3.5869885394681016
Italy,3.547020467387539
Senegal,3.49374925727437
Morocco,3.173356444074879
Brazil,3.127036975568614
Japan,2.8589349901946974
Zambia,2.6918108206865137
Cabo Verde,2.6534069542584144
South Africa,2.4921889927112466
Madagascar,0.6456539899585358
