TIME_PERIOD,Argentina,Australia,Austria,Belgium,Brazil,Bulgaria,Cabo Verde,Cameroon,Canada,Chile,China (People’s Republic of),Colombia,Costa Rica,Croatia,Czechia,Denmark,Estonia,Finland,France,Georgia,Germany,Greece,Hong Kong (China),Hungary,Iceland,Indonesia,Ireland,Israel,Italy,Japan,Korea,Latvia,Lithuania,Luxembourg,Madagascar,Malta,Mexico,Morocco,Netherlands,New Zealand,Norway,Poland,Portugal,Romania,Senegal,Singapore,Slovak Republic,Slovenia,South Africa,Spain,Sweden,Switzerland,Türkiye,United Kingdom,United States,Zambia
1990,,17.837754539967538,19.382972055979213,18.67452394100375,,,,,20.229752818392658,4.714045728960385,0.9837179729386967,5.126493441935821,,,12.769715635054048,18.22971777856891,,18.13488729343815,17.497219076595158,,19.537992263494786,13.028748251122206,18.25338131136045,,21.973719327440854,,13.76498431260696,,18.667890696624774,19.891091577610407,8.664379924887449,,,29.924242256624527,,,7.536467753976913,,19.19685295062413,14.68098606581678,18.45060929026173,6.224386542728359,11.758066472057237,,,23.816191335740072,,,7.203196852969249,13.501571225893757,20.374835305457296,28.104347393625247,8.286090384615385,17.057305443935846,23.83531922887829,
1991,,18.177177215922242,20.522183612896686,19.585282973079966,,,,,20.22468058758616,5.166520364684574,1.0978848544762267,5.338114435404377,5.499863035311723,,11.72939110935811,19.05571128948078,,17.550373576400663,18.20763665132828,,21.068851962537355,13.770331712471165,19.780228268428374,8.368964430697854,22.383856589147285,,14.422805161656267,,19.5766701834418,21.20424099725224,9.824958772172948,,,33.158899109916035,,,7.976826832598075,,20.166841253737854,14.51642553555638,19.566023697794463,5.971189438583858,12.722669166927172,,,25.531042743221693,,,7.212440164334606,14.28819772783001,20.682323399208336,28.43799512448097,8.501467915440193,17.37858890301015,24.28954758805664,
1992,,19.157432231414415,21.194746418978184,20.255232514502833,,,,,20.62620896975193,5.827459391312601,1.26870915499569,5.585122991372849,6.008485734447765,,11.925369121558486,19.81910990542339,,17.259529155097184,18.8242987402111,,21.83997136645963,14.079675919149034,21.310841406654028,8.315083397907788,21.858900804289544,,15.12031223628692,,20.182172205975302,21.80091846957862,10.561494331169426,,,34.065281048249815,,,8.313769252105223,,20.820804427641097,14.892982045056746,20.611168688754084,6.250367435209955,13.159672478344223,,,27.0193150727329,7.276174636746775,,7.056034081180719,14.715200989745277,20.785550573252973,28.80951751344321,9.064985084055733,17.80067621776504,25.37862464094161,
1993,,20.184772948941866,21.6323152911747,20.456495312297065,,,,1.639960976368159,21.44005253102309,6.2707467599067135,1.4628851278719508,5.9303804720975775,6.445100112857582,,12.200462567204424,20.200958082032233,5.741664130219017,17.44634770251066,19.108861984199642,,21.99718247967781,14.105020582293044,22.776189120488052,8.487803672041967,22.43890447308567,4.7676302562679655,15.810992725237828,,20.47185639026038,22.149219700971685,11.438544269713768,,,35.826342103949855,,,8.651246536609863,,21.42993465170669,15.906372866227827,21.56920477736549,6.629382981671014,13.18165283041569,,,30.06641291880471,7.564610680943372,,7.1577467206412715,14.876089463706071,20.733975443226804,29.26237233608123,9.865661992989484,18.63458034445715,26.35049292690236,
1994,,21.434245205133244,22.538075290715184,21.503589345134742,,,,1.6025327639634193,22.632831256306105,6.653874500519654,1.67065229119733,6.284421454804941,6.683886974277076,,12.816631163482151,21.657261306209275,5.901905213270142,18.44549712084586,19.91575970877886,,22.968940576977584,14.627983388659407,24.11893487986744,8.95324675957509,23.548763157894737,5.164408729265466,17.02096207473508,,21.354416537364056,22.834751702420157,12.637823641413915,,,37.44385073530027,,,9.08012159475579,,22.4023338790619,17.04334993396434,23.010058565828913,7.12354343099985,13.560403988877553,,,33.058001754899095,8.171986765195665,,7.387156326581475,15.528012162430414,21.831495290401524,30.060313049073645,9.376986505090334,19.71394599218831,27.66026835702492,
1995,,22.444078889270145,23.5884542538648,22.431493469339436,8.1164576301597,7.737724907498359,,1.6634153676470589,23.485643436109868,7.388385641065541,1.8739795138745552,6.646387314460833,6.906601696333162,8.04644190622139,13.943328171724847,22.6746774830341,6.424123334023894,19.554832804730022,20.73448241789688,,23.722443793968612,15.207739247373928,24.71364847303444,9.216100645127561,23.944562453253553,5.627464160649069,18.971190403465414,20.394980703593816,22.431236166159138,23.86591363723333,14.001921207282727,5.342655254216277,5.967199856713785,38.236779386196254,,13.968000232937339,8.590138575510636,,23.464761627530887,17.801809461876115,24.345328056893784,7.773947171783147,14.396831055030354,5.42620172435458,,35.08515120567376,8.80379098389311,13.636315683347169,7.617036296864643,16.26723190562074,23.06130796455166,30.564557068167556,10.10425431755807,20.57891317535545,28.657512716251293,
1996,,23.29099208785495,24.41766306287109,22.736835456747336,8.322668499082003,6.846447002484567,,1.7183897358814688,24.05017612501198,7.970381084476425,2.0769327374192126,6.767940573256575,6.951481994003117,8.802351804229755,14.775164165491963,23.71673131328794,6.842858546168958,20.05988447878859,21.311383966315507,,24.293175656101933,15.77248819637922,25.100206060606062,9.384080844608572,24.768549646708816,6.093356242552514,20.538369598190894,21.28599878242022,23.092176826362152,25.009682088281853,15.237394288852279,5.63671788192678,6.419671408338431,39.684745525524654,,14.652635013868494,9.15694888242227,,24.555749001931744,18.366342700077386,26.818371376398083,8.379964794066181,14.916452643570688,5.7464220028468285,,36.869730591119584,9.495536365612336,14.270201461814322,7.929814717330885,16.967322736902183,23.939226215047075,31.23168235302801,10.828153302236652,21.93954356646723,29.93215776711628,
1997,,24.47819547884532,25.294723383074963,23.729158996925552,8.626173296783518,5.749345770511021,,1.7796475878416063,25.259725356307047,8.589099772128773,2.285869410965331,7.0001967922756645,7.268555172832193,9.533557813588773,14.908347553224386,24.881611674591426,7.94122759601707,21.78216058990622,22.241000651988564,,24.802341540915226,16.626489872916203,26.611846201263674,9.844129422070056,26.89072351421189,6.400304181521855,22.69304778538875,21.898280825695416,23.931167631094173,25.629420661688265,16.302963659311484,6.307923844687615,7.1028796938411025,42.437284744551626,,15.488548461677121,9.848996893163932,,26.054932163218243,19.072644708736586,28.604387287173665,9.048752298130157,15.78578584163363,5.565031338250407,,39.286825342465754,10.13437369043621,15.250464299181353,8.116265094458873,17.902517989150255,24.808881566677027,32.43488370151011,11.648768341398462,23.0663474465823,31.42443892466973,
1998,,25.725620961861573,26.52918423691538,24.37019779659688,8.627021305241081,6.17764660486538,,1.8360509372453138,26.31993024878352,8.927893015018622,2.4719584894317936,7.02202488021382,7.689864261250641,9.88892191231684,15.06192836618911,25.80194085527892,8.408400689110618,23.568359173377317,23.322675406449896,,25.63197949561673,17.432325401476003,25.11497738386308,10.414600884229106,28.726018248175183,5.545152611968253,25.082321266066803,22.44222288749,25.073668583839865,25.520196542908927,15.52827320846026,6.879060532185279,7.796779167679768,44.21562106798057,,16.221115636088033,10.438423140579784,,27.747365951486596,19.285784185462347,28.201383660573235,9.614447680493157,16.686941177119024,5.545412348685497,,37.561649350649354,10.665074149881708,15.986593205145601,8.09544946049382,19.086057326309657,25.892865139661648,33.5426308794467,8.937317446849384,23.692600171013254,32.817981995553204,
1999,,27.16036692872267,27.50008627028712,25.440896209809903,8.665532264581708,5.807798043120718,,1.9593645867795937,27.841629561328425,8.9097729958776,2.6788920881497145,6.658492877095304,7.934314161441874,9.942613545456519,15.49560089952293,26.648647236471053,8.479421403712296,24.761699932242763,24.270460885706708,,26.73884060818943,17.75800014960455,25.859886786741335,10.892485589785817,29.555515501081477,5.589992972616618,27.041428048285184,22.92018490329334,25.65467843131054,25.7449165791116,17.428555955981725,7.200919036430092,7.856704059146971,49.74497030171234,,16.94178856417297,10.743956110966241,,29.31641310397167,20.53741419240678,30.57313738233976,10.183490723804546,17.71815096124147,5.599946789610126,2.0482097345576875,39.945985097246776,10.726456777438242,17.001002664698643,8.259056104137958,19.946673699339655,27.497393508326276,34.40180920622342,8.6252793857711,24.492865789653056,34.47979436361553,
