TIME_PERIOD,Australia,Austria,Belgium,Canada,Chile,China (People’s Republic of),Colombia,Czechia,Denmark,Finland,France,Germany,Greece,Hong Kong (China),Iceland
1990,17.837754539967538,19.382972055979213,18.67452394100375,20.229752818392654,4.714045728960385,0.9837179729386968,5.126493441935821,12.769715635054048,18.22971777856891,18.13488729343815,17.497219076595158,19.537992263494782,13.028748251122206,18.25338131136045,21.97371932744085
1991,18.17717721592224,20.522183612896686,19.585282973079966,20.22468058758616,5.166520364684574,1.0978848544762267,5.338114435404377,11.72939110935811,19.05571128948078,17.550373576400663,18.20763665132828,21.068851962537355,13.770331712471163,19.78022826842837,22.383856589147285
1992,19.15743223141441,21.194746418978184,20.255232514502836,20.62620896975193,5.827459391312601,1.26870915499569,5.585122991372849,11.925369121558486,19.81910990542339,17.259529155097184,18.8242987402111,21.83997136645963,14.079675919149034,21.310841406654028,21.858900804289544
1993,20.184772948941863,21.6323152911747,20.456495312297065,21.44005253102309,6.2707467599067135,1.4628851278719508,5.9303804720975775,12.200462567204424,20.200958082032237,17.44634770251066,19.10886198419964,21.99718247967781,14.105020582293044,22.77618912048805,22.43890447308567
1994,21.434245205133244,22.538075290715184,21.503589345134746,22.632831256306105,6.653874500519654,1.67065229119733,6.284421454804941,12.816631163482151,21.657261306209275,18.44549712084586,19.91575970877886,22.968940576977584,14.627983388659407,24.11893487986744,23.548763157894737
1995,22.444078889270145,23.5884542538648,22.43149346933944,23.485643436109868,7.388385641065541,1.8739795138745552,6.646387314460833,13.943328171724849,22.6746774830341,19.554832804730022,20.73448241789688,23.72244379396861,15.207739247373928,24.71364847303444,23.944562453253557
1996,23.29099208785495,24.41766306287109,22.736835456747336,24.05017612501198,7.970381084476425,2.0769327374192126,6.767940573256575,14.775164165491963,23.71673131328794,20.05988447878859,21.311383966315507,24.293175656101933,15.77248819637922,25.100206060606062,24.768549646708816
1997,24.47819547884532,25.294723383074963,23.729158996925552,25.259725356307047,8.589099772128773,2.285869410965331,7.0001967922756645,14.908347553224386,24.881611674591426,21.78216058990622,22.241000651988564,24.802341540915226,16.626489872916203,26.611846201263678,26.89072351421189
1998,25.725620961861573,26.52918423691538,24.37019779659688,26.31993024878352,8.927893015018622,2.4719584894317936,7.02202488021382,15.06192836618911,25.80194085527892,23.56835917337732,23.322675406449896,25.63197949561673,17.432325401476003,25.11497738386308,28.726018248175183
1999,27.16036692872267,27.50008627028712,25.440896209809903,27.841629561328425,8.9097729958776,2.6788920881497145,6.658492877095304,15.49560089952293,26.648647236471053,24.761699932242763,24.270460885706708,26.73884060818943,17.75800014960455,25.85988678674133,29.55551550108148
2000,28.33313006252312,29.214733049693404,27.78823288980802,29.3622895723843,9.440041891742345,2.9523439945401324,6.886405813355871,16.30107569693579,28.64773453771862,26.777165488195976,26.07578698185889,27.722217353941343,18.815852436969937,28.224531882970744,29.783403271692748
2001,29.56248172150634,29.55638845786892,28.79650545369704,30.231050820488345,9.845971073511084,3.247117553495734,7.068835572106044,17.698192874312223,29.470359893117504,27.80106322282189,27.43037580086297,28.970221548879373,20.30605287389803,28.810124218051836,31.8818701754386
2002,30.82338764240037,30.95153363826154,30.28225408408176,30.964090887653093,10.205704228290562,3.579220986664384,7.2651779148571665,18.33709461654576,30.66862893736949,28.596261200630693,28.43664614435934,29.843073414400937,21.98525573965523,29.610241696322657,32.60971478260869
2003,32.40899977521124,31.97545245308561,30.934673721340385,32.35167293087601,10.7796393964903,3.995115814806504,7.604164559041767,19.591881157275427,30.874074894596387,29.04648052944562,28.1165887708894,30.671363683184342,23.255523677465717,31.177783538850097,32.703419689119166
2004,34.019112893863664,33.53337052070025,32.064108779303524,33.9278555395009,11.682598921618194,4.491742573929901,8.12757957264883,20.97073368732183,33.02904087328615,31.19912876324548,29.020731460296638,32.170785712531924,24.82885357342469,34.52971683372641,35.614043135912354
2005,35.68335816047346,34.78743988956969,33.17794734029355,36.32881239716287,12.60090579514726,5.133063721741259,8.676107350193085,22.065403848235874,34.24383789121794,32.04767579725892,30.536043834572133,32.76361632467389,25.00375286056185,38.08069998532218,37.32701718907988
2006,37.96461756378648,37.39917800644125,35.258835039817974,38.12015454883707,15.589157526473208,5.930634895928428,9.433241827579376,23.854661298344173,37.40385571837323,34.44751419402616,32.54725016563082,35.26394506794131,28.0820257498984,41.746100335423655,39.69772876892692
2007,39.70342768848023,39.19521025982651,36.79955127662178,39.57549221946891,16.77118277722967,6.91739343823082,10.228188006060275,26.20784574639418,39.11896328455118,37.8444464613232,34.19669481771854,37.49617732615567,28.89686137456319,45.25962738577212,41.468318356867776
2008,40.13607072906607,41.04658872677549,37.88323342670402,40.376111556494,16.449614291421167,7.693302909594736,10.651506622948272,27.817062766570675,41.47414507841826,40.08122595701435,35.1921633630168,39.084285622306965,30.44089595619661,46.82890801954585,43.7300441083806
2009,41.68277346129408,40.6744634017716,37.88589561431945,38.86404925306576,16.028549571015937,8.427472164106407,10.720914275133453,27.5732570734458,40.50692428984382,37.968445185337806,34.809742524169394,38.21670319197843,29.94778538337542,45.86018299153879,41.86282888540031
2010,42.821248017066274,41.75177037768736,39.84436295385293,40.09830337686676,18.04131428832296,9.388644017868463,11.206221822258296,28.04230203968776,43.04487609698518,38.950213111086256,36.06586952492741,40.469325880623785,27.84173685952548,49.19905979498861,40.19061646012075
2011,44.45718017133732,44.187934626002594,41.24470643124395,41.666848674289966,20.23557033408583,10.424820480891814,12.10823485297105,29.23556066151253,44.446578075201074,40.84576582595624,37.67517070171393,43.398326079103086,25.692466706720896,52.274509615384616,41.7901888
