TIME_PERIOD,Argentina,Australia,Austria,Belgium,Brazil,Bulgaria,Cabo Verde,Cameroon,Canada,Chile,China (People’s Republic of),Colombia,Costa Rica,Croatia,Czechia,Denmark,Estonia,Finland,France,Georgia,Germany,Greece,Hong Kong (China),Hungary,Iceland,Indonesia,Ireland,Israel,Italy,Japan,Korea,Latvia,Lithuania,Luxembourg,Madagascar,Malta,Mexico,Morocco,Netherlands,New Zealand,Norway,Poland,Portugal,Romania,Senegal,Singapore,Slovak Republic,Slovenia,South Africa,Spain,Sweden,Switzerland,Türkiye,United Kingdom,United States,Zambia
1990,7.314,7.805,12.384,10.794,13.544,,5.917,,9.063,10.559,,6.109,10.186,,,15.141,,13.975,11.804,,9.304,11.219,,,15.634,,13.58,,10.162,3.792,8.226,,,8.197,,,5.063,,10.472,12.144,14.502,,11.711,,,,,,9.075,8.956,12.194,4.847,4.059,10.197,4.55,
1991,7.762,7.39,12.196,10.754,11.311,,7.739,,9.192,11.111,,6.176,8.219,,,15.044,,14.138,11.399,,9.433,11.707,,14.801,15.712,,13.304,,10.293,3.817,7.688,,,8.017,,,5.031,,10.584,12.145,14.353,8.738,11.659,,,,,,8.567,9.019,12.384,4.791,4.457,10.527,4.702,
1992,9.948,7.387,12.471,10.694,11.447,,9.162,,9.236,11.592,,6.486,9.619,,,14.816,,13.945,11.102,,9.687,12.506,,15.952,15.686,,13.268,,10.564,3.8,7.838,,,8.864,,,4.923,,10.658,12.365,14.992,10.316,12.712,,,,,,8.01,9.431,11.53,4.675,4.848,10.725,4.722,
1993,10.78,7.834,12.231,10.781,11.906,,9.019,4.061,9.189,12.035,,6.48,8.975,,12.153,14.843,,13.734,11.276,,10.015,12.147,,16.782,15.243,,12.639,,10.495,3.911,7.623,,,9.266,5.047,,4.196,,10.21,12.5,15.047,12.93,11.997,,,,,,8.497,8.697,11.922,4.747,5.234,10.529,4.733,
1994,10.628,8.085,12.903,11.034,14.208,,8.935,4.552,9.002,11.631,,7.235,9.191,,11.804,15.378,,13.938,11.657,,10.45,11.608,,15.839,14.781,,13.342,,10.927,4.036,7.632,,,9.705,4.765,,4.492,,10.442,11.945,15.554,12.832,12.883,,,,,,8.69,9.136,11.37,4.721,5.993,10.766,4.873,
1995,10.096,8.186,11.984,10.834,13.02,8.402,9.349,6.086,8.797,11.371,,6.936,8.999,19.812,11.011,15.165,12.252,13.619,12.034,2.643,10.16,11.765,,16.566,14.96,,12.84,12.261,10.494,4.015,7.64,11.211,11.799,9.195,5.371,12.442,3.789,,10.617,11.867,14.995,12.99,12.863,8.709,,,14.161,14.786,8.499,9.151,12.693,5.43,6.154,10.333,4.779,
1996,10.457,8.065,12.371,11.134,12.503,8.944,9.075,6.253,8.724,12.205,,7.412,9.615,19.123,10.829,15.566,12.856,13.683,12.434,4.746,10.013,11.945,,16.037,15.373,,12.72,12.34,10.351,4.057,8.069,11.169,11.284,9.165,5.311,11.683,3.726,,10.846,11.82,14.677,13.192,13.065,8.53,,,13.536,14.549,8.331,9.209,12.238,5.357,7.066,10.347,4.674,
1997,11.052,7.88,12.651,11.228,12.161,9.473,8.671,6.386,8.744,12.008,,7.35,9.704,18.446,10.307,15.541,13.023,14.213,12.272,7.638,9.867,11.937,,14.837,14.955,3.614,12.366,12.215,10.754,4.435,8.114,11.706,13.188,9.439,5.974,11.834,4.096,,10.809,11.802,14.664,12.719,12.744,9.012,8.521,,12.616,13.563,8.28,9.379,12.208,5.331,7.512,10.392,4.639,
1998,11.102,8.035,12.587,11.09,11.775,12.397,9.144,6.43,8.837,12.154,,7.076,9.982,19.852,9.948,16.364,11.995,13.837,12.032,6.745,9.869,11.608,,14.605,15.923,2.909,12.22,11.721,11.086,4.961,7.189,12.375,13.435,9.713,6.638,10.826,4.491,,10.781,11.724,15.377,12.04,13.085,11.052,8.377,,12.478,14.138,8.322,10.033,12.05,5.519,7.429,10.535,4.61,
1999,10.893,7.835,12.697,11.478,13.124,12.655,9.166,6.454,8.541,11.725,,6.66,9.417,19.377,10.528,16.375,11.375,13.831,12.046,7.415,10.297,11.775,,15.441,17.023,3.212,12.036,11.794,11.335,5.085,7.741,11.521,13.334,9.797,7.846,11.72,4.94,,11.077,11.69,15.179,12.439,13.194,11.824,9.013,,12.037,14.658,8.329,10.283,11.964,5.932,8.085,10.731,4.571,
2000,10.87,8.747,12.404,11.345,14.109,13.308,8.376,6.713,8.394,11.943,,7.268,9.873,19.76,10.125,15.669,12.071,13.354,11.486,7.631,10.369,11.777,,15.622,16.262,3.521,11.916,11.201,11.426,4.878,8.022,11.213,12.129,9.832,7.796,11.222,4.555,11.336,10.941,11.286,13.251,11.607,12.68,11.554,9.061,4.719,12.205,13.804,8.02,10.104,12.106,5.999,9.855,10.519,4.526,
2001,9.744,8.789,12.374,10.911,14.633,12.812,9.823,7.161,8.427,11.742,,7.878,10.155,19.29,9.841,15.611,12.127,12.863,11.182,7.816,10.239,11.79,,14.584,14.128,4.603,10.726,11.07,10.88,4.94,8.398,10.598,11.756,9.634,6.265,11.632,4.922,10.903,11.184,11.389,13.065,11.515,12.727,10.936,8.833,4.679,11.094,13.347,7.907,9.802,12.037,5.972,10.171,10.304,4.435,
2002,9.809,9.067,12.505,11.008,14.793,12.01,11.036,6.243,8.669,11.682,,7.554,9.99,19.522,9.831,15.776,12.243,13.178,11.194,8.557,10.179,12.119,,14.014,14.131,4.962,10.75,11.713,10.782,4.929,8.254,10.405,11.963,9.989,4.709,11.857,5.152,10.674,10.915,11.676,13.185,12.163,13.118,11.198,9.365,4.119,11.294,13.674,7.669,9.613,12.094,5.92,11.177,10.364,4.383,
2003,11.6,8.881,12.372,10.966,14.484,13.822,11.309,6.549,8.59,11.278,,7.957,9.873,19.179,10.063,15.566,11.865,13.622,11.061,7.575,10.313,11.328,,14.624,14.926,5.195,10.687,11.638,10.378,4.901,8.144,10.917,11.264,10.232,6.942,12.071,5.073,10.006,11.057,11.696,12.792,12.2,13.1,12.144,9.58,4.505,11.802,13.744,7.821,9.656,12.169,5.997,12.347,10.399,4.377,
2004,13.433,8.606,12.265,11.166,15.21,15.399,12.401,6.396,8.419,10.837,,7.893,9.773,18.518,10.847,15.764,12.55,13.368,11.115,10.233,10.55,10.953,,15.119,16.002,5.752,11.012,11.719,10.47,4.956,7.663,10.886,10.94,10.848,7.476,12.457,4.526,9.958,11.207,11.573,12.48,12.172,13.047,11.404,9.957,4.196,12.147,13.515,8.488,9.908,12.018,6.028,11.019,10.369,4.44,
2005,13.383,8.322,12.026,11.244,15.285,15.806,12.64,6.673,8.225,10.73,,8.181,9.863,18.29,10.842,16.049,12.466,13.316,11.157,11.872,10.594,11.161,,14.548,17.361,4.934,11.361,11.589,10.437,5.015,7.42,11.629,11.134,10.802,6.617,14.048,4.19,10.383,11.232,11.586,11.908,12.636,13.694,12.526,10.366,4.001,12.487,13.501,8.869,10.113,12.278,5.94,11.408,9.947,4.493,
2006,13.605,8.021,11.602,11.18,15.017,16.373,14.93,6.943,7.976,9.555,,8.727,10.256,18.395,10.356,15.975,13.243,13.266,11.028,12.778,10.565,11.316,,14.049,17.384,4.763,11.357,11.359,10.741,4.961,7.363,11.88,11.239,9.757,6.69,13.771,4.284,10.595,11.388,11.529,11.799,12.899,13.903,12.317,10.895,3.764,11.345,13.243,9.723,10.005,12.126,5.822,11.383,9.803,4.477,
2007,14.307,7.892,11.483,11.113,14.954,16.012,16.28,7.041,7.787,10.009,10.513,8.58,10.84,18.029,10.358,16.333,13.208,12.628,10.81,14.048,11.04,11.589,,14.888,16.257,5.092,11.205,11.549,10.643,4.876,7.421,11.328,11.644,10.052,7.272,13.615,4.26,11.783,11.254,10.744,12.077,13.194,13.388,11.607,11.482,4.338,11.277,13.231,9.748,9.515,12.108,5.768,10.901,9.795,4.371,
2008,15.242,7.39,11.504,11.034,15.444,16.847,16.714,7.12,7.028,10.813,10.69,8.67,10.748,17.96,10.659,15.228,11.884,12.51,10.661,13.459,11.092,11.62,,14.659,13.06,5.489,10.798,11.51,10.444,4.855,7.459,10.355,11.664,9.851,8.141,13.174,4.636,12.367,11.097,11.111,10.81,13.331,13.037,10.845,10.236,4.503,10.681,13.176,9.071,8.126,12.412,5.735,10.439,9.631,4.324,
