TIME_PERIOD,Argentina,Australia,Austria,Belgium,Brazil,Bulgaria,Cabo Verde,Cameroon,Canada,Chile,China (People’s Republic of),Colombia,Costa Rica,Croatia,Czechia,Denmark,Estonia,Finland,France,Georgia,Germany,Greece,Hong Kong (China),Hungary,Iceland,Indonesia,Ireland,Israel,Italy,Japan,Korea,Latvia,Lithuania,Luxembourg,Madagascar,Malta,Mexico,Morocco,Netherlands,New Zealand,Norway,Poland,Portugal,Romania,Senegal,Singapore,Slovak Republic,Slovenia,South Africa,Spain,Sweden,Switzerland,Türkiye,United Kingdom,United States,Zambia
1990,13.259,28.051,39.288,41.393,27.837,,10.451,,35.072,16.774,,11.347,22.408,,,44.551,,42.934,41.55,,34.803,25.191,,,30.484,,32.389,,36.271,27.69,18.579,,,34.679,,,11.519,,39.639,36.184,40.447,,26.486,,,,,,21.88,31.537,48.847,23.167,14.537,32.869,26.033,
1991,15.11,26.615,39.748,41.608,22.852,,12.316,,35.503,17.665,,13.318,17.594,,,43.946,,44.48,41.892,,34.874,25.292,,44.622,30.838,,32.956,,36.665,27.356,18.264,,,32.504,,,11.677,,41.666,34.348,40.575,33.99,27.53,,,,,,20.659,31.808,46.922,23.026,15.235,31.684,25.855,
1992,17.644,26.085,41.282,41.18,23.791,,14.136,,35.067,18.333,,13.909,18.609,,,44.486,,44.0,41.928,,35.758,26.123,,44.354,31.666,,33.297,,38.921,25.858,18.162,,,33.376,,,12.196,,41.328,34.752,39.743,36.139,29.454,,,,,,19.405,32.811,44.472,23.458,16.282,30.893,25.746,
1993,19.343,26.555,41.688,42.632,25.216,,14.739,7.238,34.444,18.527,,14.372,18.798,,36.474,45.834,,43.497,43.018,,35.781,26.57,,45.197,30.599,,33.296,,40.505,25.844,18.467,,,35.43,6.56,,11.335,,41.52,34.869,38.866,39.175,28.029,,,,,,19.387,31.865,43.795,23.998,16.457,29.875,25.95,
1994,19.198,27.436,41.701,42.913,29.102,,14.918,7.409,34.403,18.28,,15.745,19.586,,35.23,46.724,,45.518,43.072,,36.186,26.834,,42.735,30.147,,34.366,,38.581,25.001,18.57,,,35.831,6.328,,11.442,,39.674,35.438,40.164,36.398,28.804,,,,,,19.789,31.898,44.081,24.41,16.145,30.601,26.286,
1995,18.125,28.211,41.271,42.837,26.775,20.178,15.261,9.213,34.628,18.176,,16.032,18.927,41.914,34.255,46.603,34.998,44.5,42.697,7.282,36.312,28.313,,40.77,30.725,,31.772,33.929,38.455,25.401,18.766,29.715,27.652,35.992,6.579,28.279,9.575,,37.193,35.56,39.584,36.577,29.184,27.611,,,39.481,39.137,19.573,31.307,45.106,24.968,16.378,29.301,26.55,
1996,17.66,28.852,42.641,43.351,25.924,21.429,14.967,9.31,34.941,19.408,,16.708,19.862,42.422,32.905,46.875,33.824,45.69,43.831,10.209,35.666,28.455,,39.421,31.886,,32.311,33.506,40.154,25.343,19.359,29.167,27.264,36.459,6.768,25.726,9.426,,37.272,33.766,39.503,36.555,29.862,25.862,,,38.577,38.141,20.119,31.11,46.748,25.425,18.451,29.097,27.044,
1997,18.448,28.61,43.44,43.812,26.08,29.059,14.567,9.481,35.791,18.876,,17.382,20.153,40.953,33.204,46.828,33.553,44.938,43.963,12.669,35.35,29.561,,37.743,31.588,7.599,31.356,34.198,41.574,25.736,18.988,30.251,31.248,36.705,7.72,26.846,10.038,,36.737,33.893,40.298,36.059,29.799,26.406,12.192,,36.48,37.063,20.363,31.949,47.641,25.103,20.229,29.817,27.484,
1998,18.814,29.353,43.447,44.437,26.636,30.327,14.852,10.131,35.711,18.739,,16.352,20.466,42.004,32.116,47.468,33.622,44.792,43.797,12.88,35.539,30.755,,37.461,33.628,6.174,30.797,33.256,39.92,25.259,18.954,31.26,32.761,37.382,8.262,24.548,10.354,,36.204,32.288,41.41,35.268,30.058,28.798,12.143,,36.097,37.848,21.178,32.762,47.695,25.829,20.6,31.252,27.867,
1999,18.934,29.78,43.09,44.239,27.925,32.914,15.286,9.975,35.487,17.978,,16.204,21.199,40.81,32.913,48.045,32.37,44.262,44.517,13.733,36.253,31.817,,38.23,35.922,7.76,30.835,33.185,40.793,24.802,19.234,30.252,32.662,36.717,9.561,26.279,11.152,,37.097,32.324,41.72,34.956,30.837,30.835,12.599,,34.845,38.214,21.149,33.136,48.186,26.048,22.546,31.864,27.932,
2000,19.223,30.358,42.285,43.849,29.394,34.041,15.558,10.8,34.673,18.718,,15.683,21.139,39.576,32.154,46.792,31.087,45.759,43.666,14.389,36.369,33.424,,38.521,35.877,7.871,30.751,34.009,40.523,25.341,20.916,29.05,30.822,37.025,9.447,25.671,10.934,20.343,36.892,32.539,41.796,32.872,30.92,30.069,13.096,15.179,33.633,37.699,20.089,33.05,50.017,27.033,23.478,32.658,28.295,
2001,18.732,28.843,43.886,43.692,30.45,32.655,16.937,11.929,34.085,18.903,,17.328,21.763,38.274,32.25,45.935,30.295,43.115,43.549,14.528,35.127,31.937,,37.6,34.064,10.895,28.654,33.759,40.135,25.534,21.201,28.121,29.357,37.229,8.074,26.808,11.591,20.992,35.534,31.956,42.001,32.829,30.707,28.587,12.617,15.11,32.705,37.783,21.24,32.796,47.103,26.347,25.361,32.176,27.261,
2002,17.818,29.72,42.697,43.913,31.356,30.534,19.273,11.02,33.081,18.94,,17.153,21.839,37.978,33.109,45.468,30.973,43.275,42.854,14.72,34.559,33.147,,37.389,33.769,11.269,27.872,32.943,39.619,24.504,21.312,27.815,29.028,37.415,6.265,28.013,12.01,21.014,34.891,33.243,42.332,32.969,31.139,27.925,13.5,12.855,32.828,38.282,20.685,33.244,45.038,26.951,23.826,31.404,25.011,
2003,20.964,29.816,42.409,43.344,30.594,30.663,19.091,11.203,32.7,18.627,,17.292,21.842,37.376,33.981,45.693,30.764,42.338,42.659,13.953,34.745,31.493,,37.193,35.267,11.807,28.526,32.231,39.953,24.136,21.991,27.411,28.663,37.395,8.563,29.119,12.071,20.703,34.663,33.167,41.632,32.443,30.108,28.342,13.902,12.313,32.552,38.401,20.219,33.095,45.562,26.279,24.979,31.168,24.484,
2004,24.327,30.118,41.958,43.471,31.515,31.422,20.291,10.461,32.713,19.112,,17.969,21.326,36.648,34.399,46.3,30.978,41.748,42.815,19.133,34.521,30.466,,36.916,36.328,12.095,29.575,32.298,39.225,24.76,21.177,27.548,29.025,36.235,9.346,29.555,11.034,21.008,34.659,34.201,42.363,31.935,30.224,27.473,14.52,12.001,31.531,38.462,21.215,34.042,46.012,25.989,23.088,32.095,24.762,
2005,24.532,29.815,41.012,43.357,32.675,30.821,20.394,11.036,32.661,20.835,,18.259,21.77,36.541,34.204,47.885,29.75,42.037,43.142,20.186,34.649,31.874,,36.395,39.318,12.358,30.042,32.684,39.047,25.827,21.656,27.805,29.234,37.436,8.66,31.596,10.865,22.979,34.871,36.092,42.552,32.965,30.943,27.922,15.285,11.782,31.291,39.145,22.799,35.243,47.369,25.951,23.14,32.499,26.097,
2006,25.079,29.265,40.408,43.218,32.421,30.524,23.807,11.494,32.725,22.114,,19.267,22.047,37.295,33.848,46.47,30.432,42.085,43.522,22.215,35.213,31.05,,36.347,39.614,11.915,31.426,33.275,40.464,26.618,22.632,28.577,30.165,35.305,9.183,31.892,11.078,24.179,35.869,35.298,42.686,33.632,31.412,28.574,15.746,11.818,29.333,38.687,23.966,35.999,45.969,25.711,23.371,32.829,26.775,
2007,26.368,29.397,40.548,42.92,32.792,30.537,25.569,12.021,32.495,22.847,16.639,19.299,23.136,37.771,34.128,46.488,30.982,41.4,42.921,25.134,35.697,31.797,,39.232,38.413,12.224,30.847,33.216,41.564,27.159,23.73,28.195,30.061,35.747,9.831,32.659,11.473,26.389,35.478,33.915,41.97,34.634,31.846,28.318,16.209,13.184,29.22,38.041,25.279,36.414,45.022,25.543,22.874,32.967,26.728,
2008,27.624,26.723,41.391,43.593,32.655,30.601,26.262,11.988,31.235,21.403,16.718,19.032,23.692,37.618,33.342,44.761,31.237,41.09,42.737,24.235,36.179,31.803,,39.333,34.264,12.99,29.093,31.323,41.596,27.049,23.583,27.815,30.611,35.028,11.373,31.483,12.04,28.693,35.72,32.925,41.169,34.281,31.739,26.74,15.154,13.966,29.066,37.302,25.263,32.103,44.234,25.922,22.961,32.145,25.643,
2009,28.924,25.395,40.98,42.699,31.177,26.734,19.259,12.266,32.346,17.397,16.788,18.817,22.108,36.877,32.159,44.737,34.95,40.773,42.109,23.735,37.121,30.752,,38.735,31.276,11.043,28.067,29.124,41.97,25.686,22.703,28.067,30.214,36.275,9.449,31.637,11.894,25.599,34.643,30.227,41.077,31.368,29.796,25.174,14.993,12.392,28.891,37.099,23.202,29.679,43.923,26.268,23.318,31.077,22.911,
2010,29.067,25.147,40.958,42.882,31.759,25.398,17.301,11.548,31.007,19.693,17.462,18.096,22.131,36.338,31.909,44.794,33.195,40.562,42.238,21.977,35.869,32.31,13.298,36.826,32.218,11.356,27.71,30.092,41.701,26.241,22.378,28.54,28.285,35.652,8.513,30.691,12.287,25.528,35.444,30.295,41.736,31.6,30.366,25.758,15.894,12.469,27.862,37.788,23.122,31.282,43.144,25.816,24.654,32.045,23.371,
2011,29.299,25.774,41.119,43.508,32.582,25.478,18.402,12.478,30.803,21.195,18.102,18.932,22.649,35.793,32.758,44.867,31.373,41.794,43.319,23.505,36.589,34.258,14.076,36.373,33.197,12.171,27.553,30.309,41.637,27.132,23.177,29.134,27.166,36.126,9.004,31.219,12.263,26.227,35.138,30.083,41.811,32.067,32.228,26.91,16.042,12.942,28.876,37.33,23.982,31.19,42.223,26.18,25.706,32.852,23.761,
2012,30.635,26.803,41.767,44.331,31.854,26.079,16.645,12.985,31.177,21.323,18.376,19.721,22.565,36.322,33.199,45.626,31.402,42.415,44.461,23.913,37.342,36.702,13.554,38.901,33.951,12.484,27.913,29.469,43.617,27.952,23.702,29.111,26.919,36.408,8.659,30.99,12.105,27.262,35.302,31.638,41.29,32.378,31.667,26.52,16.133,13.491,28.711,37.638,24.409,32.368,42.335,26.093,24.76,32.122,23.916,14.729
2013,31.179,26.955,42.635,45.033,31.811,28.132,16.759,13.559,31.132,19.939,18.31,20.022,22.979,36.876,33.498,45.97,31.249,43.406,45.329,22.855,37.675,36.254,13.312,38.444,34.319,12.495,28.09,30.329,43.828,28.557,23.143,29.43,26.905,36.183,9.119,30.576,12.773,25.961,35.832,30.457,39.719,32.395,33.968,27.461,15.405,13.176,30.985,37.242,24.764,33.105,42.697,26.246,25.156,32.007,25.413,14.149
2014,31.123,27.15,42.699,44.75,31.113,28.399,15.943,13.837,31.266,19.699,18.173,19.55,22.609,37.182,32.61,48.776,31.635,43.513,45.406,22.828,37.614,36.687,15.417,38.362,37.111,12.163,27.899,30.642,43.325,29.973,23.381,29.715,27.477,36.08,8.833,30.868,13.201,25.655,36.661,31.186,38.637,32.272,34.182,27.463,16.234,13.357,31.861,37.179,25.42,33.872,42.49,26.189,24.457,31.693,25.786,15.282
2015,31.454,27.773,43.126,44.115,31.343,28.863,17.648,14.115,32.82,20.51,17.782,19.903,22.947,37.554,32.946,46.487,32.719,43.524,45.363,23.187,38.052,36.946,14.266,38.666,35.139,12.111,22.344,31.035,42.958,30.242,23.737,29.79,28.942,34.777,9.349,29.391,15.36,24.586,36.521,31.5,38.337,32.474,34.382,27.997,16.397,13.04,32.51,37.311,26.41,33.827,42.918,26.956,24.957,31.907,26.087,14.289
2016,30.673,27.511,41.753,43.288,31.616,29.184,17.465,13.693,33.258,20.223,17.125,19.079,23.486,37.931,33.707,45.799,32.851,43.727,45.397,24.036,38.518,39.212,13.744,39.038,50.286,12.009,23.032,30.998,42.242,30.279,24.745,30.73,29.656,35.461,9.596,31.421,16.106,25.444,37.774,31.4,38.807,33.556,34.051,26.251,17.019,13.021,33.071,37.385,26.008,33.58,44.219,26.938,25.128,32.45,25.713,13.031
2017,30.041,28.517,41.871,43.797,31.731,29.841,18.205,14.003,33.044,20.223,17.037,18.983,22.984,37.789,33.982,45.457,31.902,42.857,46.239,23.968,38.528,39.722,14.067,37.818,37.13,11.612,21.741,32.196,41.912,30.916,25.357,31.091,29.61,36.649,10.415,30.881,15.651,25.867,38.046,31.322,38.601,34.239,34.112,25.052,16.73,13.815,33.966,37.067,26.03,33.852,44.495,27.716,24.68,32.733,26.459,14.894
2018,28.513,28.571,42.261,43.824,31.986,29.72,19.583,14.171,33.482,21.282,16.71,19.265,23.157,38.299,34.559,44.445,32.271,42.387,46.022,23.02,39.196,40.345,13.497,36.79,36.457,11.973,21.758,30.761,41.731,31.548,26.686,31.052,30.238,39.355,10.911,30.358,15.709,26.205,38.144,32.18,39.253,35.061,34.656,25.729,17.288,12.892,34.027,37.239,26.46,34.645,44.11,27.182,23.968,32.768,24.816,16.166
2019,28.503,27.657,42.617,42.385,31.932,30.464,18.694,13.863,33.082,20.982,21.664,19.692,23.408,38.438,34.203,47.146,32.655,42.291,45.024,23.851,39.326,39.492,12.179,36.306,35.094,11.588,21.444,30.125,42.272,31.507,27.227,31.013,30.217,39.509,11.062,30.012,15.892,26.402,38.473,31.404,39.854,35.178,34.498,25.838,18.714,13.185,34.534,37.539,26.116,34.663,42.971,27.66,23.103,32.49,24.982,16.215
2020,29.746,28.251,42.102,42.219,30.453,30.348,18.736,12.833,34.468,19.29,19.664,18.773,22.566,37.567,34.046,47.237,32.79,41.846,45.239,22.052,38.652,39.509,13.788,35.969,36.225,10.071,19.37,29.581,42.582,32.909,27.745,31.134,31.244,38.272,10.137,27.754,17.228,27.275,39.022,33.727,38.714,35.56,35.164,25.979,18.523,12.488,34.778,37.555,25.11,36.844,42.58,27.912,23.861,32.812,25.57,15.708
2021,29.129,29.155,43.383,42.065,32.098,30.667,17.788,13.337,34.799,22.317,20.599,19.193,24.845,36.739,33.654,47.249,33.502,43.211,45.059,22.314,39.781,40.041,14.603,33.777,34.797,10.866,20.041,32.305,42.461,33.883,29.761,30.746,31.895,38.187,10.673,27.419,16.726,27.253,38.264,34.542,41.344,36.698,35.183,26.252,18.737,12.122,35.41,38.251,26.297,37.813,42.761,28.035,22.914,34.227,26.709,16.15
2022,29.558,29.398,43.181,42.377,32.54,31.059,18.257,14.041,33.832,23.841,19.574,19.652,25.186,37.223,33.187,41.934,32.554,43.175,45.774,23.731,39.647,41.212,14.143,35.149,35.166,12.068,20.255,32.78,42.837,34.441,31.976,30.762,31.555,38.257,11.473,27.649,16.801,29.917,38.066,33.12,43.437,34.38,36.014,27.089,19.785,11.8,35.011,37.402,27.067,37.59,42.512,26.91,20.945,35.42,27.607,16.158
