TIME_PERIOD,Argentina,Australia,Austria,Belgium,Brazil,Bulgaria,Cabo Verde,Cameroon,Canada,Chile,China (People’s Republic of),Colombia,Costa Rica,Croatia,Czechia,Denmark,Estonia,Finland,France,Georgia,Germany,Greece,Hong Kong (China),Hungary,Iceland,Indonesia,Ireland,Israel,Italy,Japan,Korea,Latvia,Lithuania,Luxembourg,Madagascar,Malta,Mexico,Morocco,Netherlands,New Zealand,Norway,Poland,Portugal,Romania,Senegal,Singapore,Slovak Republic,Slovenia,South Africa,Spain,Sweden,Switzerland,Türkiye,United Kingdom,United States,Zambia
1990,,17837.754539967536,19382.97205597921,18674.52394100375,,,,,20229.75281839266,4714.045728960385,983.7179729386967,5126.4934419358215,,,12769.715635054048,18229.717778568913,,18134.88729343815,17497.219076595156,,19537.992263494787,13028.748251122206,18253.38131136045,,21973.719327440853,,13764.98431260696,,18667.890696624774,19891.09157761041,8664.37992488745,,,29924.242256624526,,,7536.467753976913,,19196.852950624132,14680.98606581678,18450.60929026173,6224.386542728359,11758.066472057237,,,23816.191335740074,,,7203.196852969249,13501.571225893756,20374.835305457294,28104.34739362525,8286.090384615385,17057.305443935846,23835.319228878292,
1991,,18177.177215922242,20522.183612896686,19585.282973079968,,,,,20224.68058758616,5166.520364684574,1097.8848544762268,5338.114435404376,5499.863035311723,,11729.39110935811,19055.71128948078,,17550.373576400663,18207.63665132828,,21068.851962537356,13770.331712471165,19780.228268428375,8368.964430697853,22383.856589147286,,14422.805161656268,,19576.670183441798,21204.24099725224,9824.958772172948,,,33158.899109916034,,,7976.826832598075,,20166.841253737854,14516.42553555638,19566.023697794462,5971.189438583858,12722.669166927173,,,25531.042743221693,,,7212.440164334606,14288.19772783001,20682.323399208337,28437.99512448097,8501.467915440193,17378.58890301015,24289.547588056637,
1992,,19157.432231414416,21194.746418978182,20255.232514502834,,,,,20626.20896975193,5827.459391312601,1268.70915499569,5585.122991372848,6008.485734447765,,11925.369121558486,19819.10990542339,,17259.529155097185,18824.2987402111,,21839.971366459627,14079.675919149035,21310.841406654028,8315.083397907789,21858.900804289544,,15120.31223628692,,20182.1722059753,21800.918469578617,10561.494331169426,,,34065.28104824982,,,8313.769252105223,,20820.8044276411,14892.982045056746,20611.168688754085,6250.367435209955,13159.672478344224,,,27019.3150727329,7276.174636746775,,7056.034081180719,14715.200989745277,20785.550573252975,28809.51751344321,9064.985084055734,17800.67621776504,25378.62464094161,
1993,,20184.772948941867,21632.3152911747,20456.495312297066,,,,1639.960976368159,21440.052531023088,6270.746759906713,1462.8851278719508,5930.380472097578,6445.100112857582,,12200.462567204424,20200.958082032234,5741.664130219017,17446.347702510662,19108.86198419964,,21997.18247967781,14105.020582293044,22776.189120488052,8487.803672041966,22438.90447308567,4767.630256267966,15810.992725237827,,20471.856390260382,22149.219700971684,11438.544269713768,,,35826.34210394986,,,8651.246536609862,,21429.93465170669,15906.372866227826,21569.20477736549,6629.382981671014,13181.65283041569,,,30066.412918804708,7564.610680943372,,7157.746720641271,14876.089463706072,20733.975443226806,29262.372336081233,9865.661992989484,18634.58034445715,26350.49292690236,
1994,,21434.245205133244,22538.075290715184,21503.589345134744,,,,1602.5327639634193,22632.831256306104,6653.874500519654,1670.65229119733,6284.421454804941,6683.886974277076,,12816.631163482152,21657.261306209275,5901.905213270142,18445.49712084586,19915.75970877886,,22968.940576977584,14627.983388659408,24118.93487986744,8953.246759575091,23548.763157894737,5164.408729265466,17020.962074735082,,21354.416537364057,22834.751702420155,12637.823641413916,,,37443.85073530027,,,9080.12159475579,,22402.3338790619,17043.34993396434,23010.058565828913,7123.54343099985,13560.403988877553,,,33058.001754899095,8171.986765195666,,7387.156326581475,15528.012162430414,21831.495290401523,30060.313049073644,9376.986505090334,19713.94599218831,27660.268357024917,
1995,,22444.078889270146,23588.4542538648,22431.493469339435,8116.457630159699,7737.724907498359,,1663.415367647059,23485.64343610987,7388.385641065541,1873.979513874555,6646.387314460833,6906.601696333162,8046.441906221389,13943.328171724846,22674.6774830341,6424.123334023894,19554.832804730024,20734.48241789688,,23722.44379396861,15207.739247373927,24713.64847303444,9216.10064512756,23944.562453253555,5627.464160649069,18971.190403465414,20394.980703593817,22431.23616615914,23865.91363723333,14001.921207282727,5342.655254216277,5967.199856713785,38236.77938619626,,13968.000232937338,8590.138575510637,,23464.761627530886,17801.809461876113,24345.328056893784,7773.9471717831475,14396.831055030354,5426.20172435458,,35085.15120567376,8803.79098389311,13636.31568334717,7617.036296864643,16267.23190562074,23061.30796455166,30564.557068167556,10104.25431755807,20578.91317535545,28657.512716251294,
1996,,23290.99208785495,24417.66306287109,22736.835456747336,8322.668499082003,6846.447002484567,,1718.3897358814688,24050.17612501198,7970.381084476425,2076.9327374192126,6767.940573256575,6951.4819940031175,8802.351804229755,14775.164165491964,23716.73131328794,6842.858546168958,20059.88447878859,21311.38396631551,,24293.175656101932,15772.48819637922,25100.206060606062,9384.080844608572,24768.549646708816,6093.356242552514,20538.369598190893,21285.998782420218,23092.176826362152,25009.682088281854,15237.39428885228,5636.717881926779,6419.67140833843,39684.74552552465,,14652.635013868494,9156.94888242227,,24555.749001931745,18366.342700077385,26818.371376398085,8379.964794066182,14916.452643570688,5746.422002846828,,36869.73059111959,9495.536365612337,14270.201461814322,7929.814717330884,16967.322736902184,23939.226215047074,31231.68235302801,10828.153302236653,21939.54356646723,29932.15776711628,
1997,,24478.19547884532,25294.723383074965,23729.15899692555,8626.173296783518,5749.345770511021,,1779.6475878416063,25259.725356307048,8589.099772128773,2285.869410965331,7000.196792275665,7268.555172832193,9533.557813588774,14908.347553224387,24881.611674591426,7941.22759601707,21782.16058990622,22241.000651988565,,24802.341540915226,16626.4898729162,26611.846201263674,9844.129422070057,26890.723514211888,6400.304181521855,22693.04778538875,21898.280825695416,23931.167631094173,25629.420661688266,16302.963659311483,6307.923844687614,7102.879693841102,42437.28474455162,,15488.548461677121,9848.996893163932,,26054.932163218244,19072.644708736585,28604.387287173664,9048.752298130157,15785.78584163363,5565.031338250406,,39286.82534246575,10134.37369043621,15250.464299181353,8116.265094458873,17902.517989150256,24808.881566677028,32434.88370151011,11648.768341398461,23066.3474465823,31424.43892466973,
1998,,25725.620961861572,26529.184236915382,24370.19779659688,8627.021305241082,6177.64660486538,,1836.0509372453137,26319.930248783523,8927.893015018622,2471.9584894317936,7022.02488021382,7689.864261250641,9888.92191231684,15061.92836618911,25801.94085527892,8408.400689110618,23568.359173377317,23322.675406449896,,25631.979495616728,17432.325401476002,25114.977383863083,10414.600884229107,28726.018248175184,5545.152611968253,25082.321266066803,22442.22288749,25073.668583839866,25520.19654290893,15528.27320846026,6879.060532185279,7796.779167679768,44215.62106798057,,16221.115636088032,10438.423140579784,,27747.365951486598,19285.784185462348,28201.383660573236,9614.447680493156,16686.941177119024,5545.412348685497,,37561.64935064936,10665.074149881708,15986.5932051456,8095.449460493819,19086.057326309656,25892.865139661648,33542.6308794467,8937.317446849383,23692.600171013255,32817.98199555321,
1999,,27160.36692872267,27500.08627028712,25440.896209809904,8665.532264581709,5807.798043120718,,1959.3645867795938,27841.629561328424,8909.7729958776,2678.8920881497143,6658.492877095304,7934.314161441874,9942.61354545652,15495.600899522931,26648.647236471053,8479.421403712297,24761.699932242762,24270.460885706707,,26738.84060818943,17758.000149604548,25859.886786741336,10892.485589785818,29555.515501081478,5589.992972616618,27041.428048285183,22920.18490329334,25654.678431310538,25744.9165791116,17428.555955981727,7200.919036430092,7856.70405914697,49744.97030171234,,16941.78856417297,10743.95611096624,,29316.41310397167,20537.414192406777,30573.13738233976,10183.490723804545,17718.15096124147,5599.946789610126,2048.2097345576876,39945.985097246776,10726.456777438243,17001.00266469864,8259.056104137959,19946.673699339655,27497.393508326277,34401.80920622342,8625.279385771099,24492.865789653057,34479.79436361553,
