TIME_PERIOD,Argentina,Australia,Austria,Belgium,Brazil,Bulgaria,Cabo Verde,Cameroon,Canada,Chile,China (People’s Republic of),Colombia,Costa Rica,Croatia,Czechia,Denmark,Estonia,Finland,France,Georgia,Germany,Greece,Hong Kong (China),Hungary,Iceland,Indonesia,Ireland,Israel,Italy,Japan,Korea,Latvia,Lithuania,Luxembourg,Madagascar,Malta,Mexico,Morocco,Netherlands,New Zealand,Norway,Poland,Portugal,Romania,Senegal,Singapore,Slovak Republic,Slovenia,South Africa,Spain,Sweden,Switzerland,Türkiye,United Kingdom,United States,Zambia
1990,0.703,16.022,10.031,15.275,5.093,,3.655,,17.032,3.898,,3.395,2.25,,,27.208,,16.846,6.671,,11.27,5.012,,,9.046,,12.317,,13.23,13.9,6.085,,,13.945,,,3.916,,12.789,21.562,14.175,,6.798,,,,,,12.231,9.663,20.341,10.834,4.865,12.925,11.768,
1991,1.032,14.898,10.556,15.042,3.723,,3.74,,16.703,4.318,,4.38,1.651,,,26.904,,16.923,7.061,,11.104,5.09,,12.297,8.979,,12.961,,13.236,13.297,5.381,,,12.415,,,3.886,,13.93,19.999,14.519,7.426,7.604,,,,,,11.592,9.884,17.362,10.747,5.295,11.89,11.216,
1992,1.326,14.462,11.093,14.495,4.521,,4.165,,15.691,4.355,,4.56,1.651,,,27.557,,15.876,6.708,,11.509,4.933,,9.662,9.351,,13.339,,14.603,11.487,5.377,,,11.749,,,4.298,,12.987,20.29,12.96,10.948,8.491,,,,,,10.951,9.843,16.949,11.153,5.297,11.168,11.148,
1993,1.816,14.38,11.241,15.486,4.73,,4.786,2.088,15.257,4.061,,4.678,1.977,,9.277,28.513,,14.692,6.813,,11.052,5.044,,9.363,9.964,,13.794,,14.97,10.981,5.212,,,13.36,1.327,,4.191,,13.575,20.434,13.052,11.99,7.713,,,,,,10.368,9.515,17.922,10.784,5.263,10.505,11.461,
1994,2.182,14.903,10.324,15.792,5.001,,5.156,1.892,15.399,4.392,,4.163,2.33,,8.742,29.276,,15.924,6.939,,10.697,5.802,,8.97,10.077,,14.236,,13.388,9.803,5.365,,,13.803,1.191,,3.976,,11.134,21.599,13.885,11.052,7.518,,,,,,10.525,9.021,18.702,11.308,4.79,10.995,11.619,
1995,2.244,15.618,10.784,16.328,5.206,4.969,5.107,2.207,16.08,4.585,,3.912,2.292,6.024,8.56,29.496,10.515,16.084,6.904,1.961,10.991,5.863,,8.543,10.487,,12.823,11.773,13.571,9.71,5.653,6.529,8.328,14.461,1.011,8.31,3.121,,10.157,21.782,14.056,10.917,7.71,10.636,,,10.081,6.37,10.526,9.107,17.712,10.782,4.638,10.817,12.089,
1996,2.296,16.246,11.787,16.331,4.963,5.711,5.07,2.201,16.475,4.894,,3.655,2.168,6.659,7.428,29.433,9.109,17.672,7.365,1.94,10.207,5.652,,8.673,11.127,,13.31,11.364,13.906,9.659,5.522,6.625,7.93,14.702,1.274,6.751,3.113,,10.458,20.067,14.504,10.398,8.346,9.829,,,8.848,6.86,11.255,9.059,18.29,11.173,4.832,10.649,12.752,
1997,2.592,16.185,12.378,16.734,4.82,12.051,5.112,2.279,17.483,4.5,,3.909,2.154,6.226,7.905,29.275,9.04,17.208,7.94,2.419,9.952,6.387,,8.2,11.324,3.586,13.292,12.179,14.681,9.525,4.966,7.228,8.679,14.729,1.502,7.69,3.489,,10.035,20.263,15.429,10.17,8.419,9.51,2.555,,8.57,6.919,11.529,9.341,18.748,10.815,5.55,11.014,13.245,
1998,2.874,17.303,12.514,17.294,5.414,9.872,5.096,2.886,17.269,4.062,,3.853,2.419,7.039,7.428,28.829,10.209,17.63,10.072,2.679,10.439,7.7,,8.37,12.7,2.993,13.068,11.967,13.061,8.487,5.769,7.496,8.93,14.547,1.437,6.918,3.569,,9.728,18.75,15.349,10.09,8.215,8.305,2.665,,8.389,6.715,12.35,9.472,18.58,11.358,6.834,12.157,13.6,
1999,3.18,17.841,12.151,16.78,5.698,10.174,5.443,2.496,17.692,3.587,,3.678,3.135,6.472,7.605,28.917,9.653,17.183,10.593,2.74,10.815,8.055,,8.956,13.825,4.231,13.407,11.852,13.857,7.948,4.769,7.417,9.058,13.415,1.471,7.832,3.836,,9.656,18.748,15.624,7.214,8.656,7.351,2.472,,8.417,6.743,12.216,9.297,19.482,10.903,7.073,12.25,13.731,
2000,3.557,17.589,11.963,16.936,5.727,9.678,5.547,3.04,17.354,4.362,,3.641,2.784,5.468,7.328,28.722,7.714,19.723,10.823,3.034,10.964,8.964,,9.362,14.303,3.753,13.412,13.393,13.444,8.816,6.024,6.995,8.319,13.512,1.484,7.829,3.941,5.294,9.566,19.525,18.875,6.716,9.104,6.698,2.898,8.019,6.89,6.791,11.393,9.284,21.369,11.838,6.933,12.931,14.183,
2001,3.568,16.216,13.618,17.111,6.015,9.739,5.849,3.678,16.295,4.456,,4.512,3.103,5.106,7.71,27.79,7.172,17.605,11.081,2.949,10.112,7.793,,9.652,14.748,5.25,12.319,13.226,13.697,8.525,5.597,7.345,7.732,13.57,1.653,8.359,4.099,5.63,9.642,18.897,18.975,6.013,8.654,5.865,2.589,8.27,6.949,6.974,12.569,9.229,18.278,11.109,7.317,12.679,13.171,
2002,2.722,16.69,12.525,17.001,6.445,8.664,6.917,3.697,14.957,4.567,,4.344,3.111,5.569,8.197,27.644,7.477,17.541,10.271,2.938,9.666,7.964,,9.84,14.606,5.11,11.743,11.608,12.86,7.495,5.429,7.399,7.393,13.808,1.436,9.133,4.183,5.765,9.636,19.864,18.534,6.148,8.488,5.363,2.866,6.873,6.539,7.276,11.795,9.714,16.34,11.643,5.908,11.97,10.948,
2003,3.847,16.814,12.354,16.506,6.224,6.203,6.382,2.979,14.72,4.697,,4.433,3.385,5.509,8.639,28.026,8.019,16.38,9.924,2.886,9.532,7.252,,9.18,15.347,5.22,12.105,10.859,12.367,7.371,6.138,6.978,7.854,13.661,1.444,9.961,4.21,6.051,8.888,19.771,18.277,5.892,7.561,5.845,2.979,5.882,6.571,7.441,11.251,9.232,17.011,11.268,5.917,11.38,10.478,
2004,4.857,17.561,12.135,16.501,6.114,5.525,6.448,2.741,15.111,5.686,,5.051,3.281,5.464,8.6,28.433,7.867,16.084,10.04,4.26,9.292,7.187,,8.69,15.431,4.758,12.546,10.643,12.337,7.92,5.894,7.336,8.63,12.048,1.684,9.618,3.89,6.265,8.616,20.905,19.732,5.922,7.887,6.209,3.2,5.783,5.966,7.664,11.073,9.608,17.898,11.267,5.104,11.926,10.71,
2005,5.013,17.577,11.62,15.767,6.867,5.039,6.299,3.167,15.359,7.553,,5.133,3.385,5.665,8.318,29.692,6.891,16.066,10.179,4.194,9.597,8.081,,8.593,16.974,5.783,12.44,11.045,12.324,8.731,6.33,7.258,8.919,12.925,1.874,10.067,4.021,7.125,9.517,22.728,20.992,6.41,7.759,5.09,3.528,5.923,5.88,8.198,11.987,10.351,19.107,11.579,5.047,12.665,12.059,
2006,4.856,17.202,11.59,15.608,6.738,5.446,7.264,3.28,15.851,10.049,,5.519,3.393,6.283,8.321,28.37,6.971,15.994,10.574,5.129,10.503,7.39,,8.908,17.429,5.716,13.297,12.24,13.327,9.423,6.678,7.681,9.53,12.365,2.329,10.805,4.25,7.551,9.769,21.932,21.462,6.99,8.047,5.76,3.428,5.795,6.01,8.615,12.738,10.998,18.214,11.656,5.044,12.891,12.804,
2007,4.931,17.474,12.085,15.366,7.097,6.107,7.712,3.685,15.922,10.439,4.511,5.603,3.827,6.794,8.499,27.99,7.296,16.228,10.385,6.19,10.946,7.381,,9.865,17.404,5.515,12.871,12.063,14.026,9.875,7.547,8.178,9.048,12.365,2.234,11.913,4.6,8.35,10.03,21.345,20.181,7.898,8.859,6.222,3.313,5.982,6.086,8.67,13.545,12.094,17.523,11.741,5.429,13.033,12.886,
