,Gdp Per Capita,Total Tax Revenue
Zambia,18,23
Morocco,18,11
Georgia,20,5
Madagascar,19,4
Hong Kong (China),0,20
Cabo Verde,19,1
Senegal,10,8
China (People’s Republic of),0,17
Argentina,14,0
Malta,6,5
Romania,5,6
Indonesia,4,7
Croatia,5,6
Lithuania,5,5
Israel,5,5
Singapore,0,10
Slovenia,5,5
Latvia,5,5
Bulgaria,5,5
Estonia,3,5
Brazil,7,0
Cameroon,3,4
Slovak Republic,2,5
Czechia,0,3
Hungary,1,1
South Africa,0,1
Costa Rica,1,0
Australia,0,1
Poland,0,1
Japan,0,1
Germany,0,0
Greece,0,0
Belgium,0,0
Austria,0,0
Finland,0,0
France,0,0
Colombia,0,0
Chile,0,0
Canada,0,0
Denmark,0,0
New Zealand,0,0
Netherlands,0,0
Mexico,0,0
Luxembourg,0,0
Ireland,0,0
Iceland,0,0
Italy,0,0
Korea,0,0
Norway,0,0
Portugal,0,0
Sweden,0,0
Spain,0,0
Switzerland,0,0
Türkiye,0,0
United Kingdom,0,0
United States,0,0
TOTAL_MISSING,180,170
