TIME_PERIOD,Argentina,Australia,Austria,Belgium,Brazil,Bulgaria,Cabo Verde,Cameroon,Canada,Chile,China (People’s Republic of),Colombia,Costa Rica,Croatia,Czechia,Denmark,Estonia,Finland,France,Georgia,Germany,Greece,Hong Kong (China),Hungary,Iceland,Indonesia,Ireland,Israel,Italy,Japan,Korea,Latvia,Lithuania,Luxembourg,Madagascar,Malta,Mexico,Morocco,Netherlands,New Zealand,Norway,Poland,Portugal,Romania,Senegal,Singapore,Slovak Republic,Slovenia,South Africa,Spain,Sweden,Switzerland,Türkiye,United Kingdom,United States,Zambia
1990,3.352,0.0,12.914,13.749,6.769,,0.0,,4.26,1.506,,0.896,6.47,,,0.012,,11.007,18.309,,13.044,7.611,,,0.957,,4.568,,11.937,7.325,1.875,,,9.552,,,1.938,,14.834,0.0,10.584,,7.192,,,,,,0.0,11.172,13.302,5.396,2.857,5.597,6.657,
1991,3.832,0.0,13.001,14.272,6.015,,0.0,,4.666,1.359,,1.849,4.801,,,0.011,,12.357,18.362,,13.324,7.38,,16.008,2.132,,4.751,,12.108,7.519,1.902,,,9.499,,,2.015,,15.572,0.0,10.54,10.834,7.467,,,,,,0.0,11.312,13.635,5.575,2.99,5.586,6.743,
1992,4.435,0.0,13.619,14.465,6.055,,0.0,,4.983,1.415,,1.956,5.023,,,0.011,,13.134,18.446,,13.582,7.318,,17.306,2.486,,4.805,,12.282,7.667,2.022,,,10.025,,,2.161,,16.094,0.0,10.642,11.926,7.496,,,,,,0.0,11.938,13.071,5.689,3.317,5.505,6.714,
1993,4.988,0.0,14.165,14.679,6.863,,0.0,0.934,4.89,1.342,,2.193,5.376,,14.07,0.011,,13.823,19.581,,13.727,8.238,,17.688,2.454,,4.824,,12.732,7.878,2.472,,,9.919,,,2.159,,16.044,0.0,9.72,12.104,7.516,,,,,,0.0,12.068,11.952,6.406,3.241,5.547,6.68,
1994,4.832,0.0,14.618,14.359,6.929,,0.0,0.838,5.016,1.276,,2.803,5.768,,14.119,0.011,,14.443,18.945,,14.018,8.285,,16.53,2.442,,4.701,,12.055,8.098,2.312,,,9.522,,,2.292,,16.333,0.0,9.633,10.804,7.569,,,,,,0.0,11.9,11.979,6.245,2.553,5.645,6.691,
1995,4.246,0.0,14.713,14.038,6.688,6.629,0.0,0.769,4.845,1.177,,3.642,5.665,15.368,14.175,0.054,11.881,13.717,18.125,1.62,14.148,8.995,,14.53,2.485,,4.307,4.706,12.103,8.527,2.268,10.971,7.204,9.717,,6.433,2.085,,14.705,0.0,9.404,11.088,7.67,7.663,,,14.678,17.285,0.0,11.263,12.47,6.694,1.978,5.212,6.682,
1996,3.536,0.0,14.739,14.106,6.834,6.586,0.0,0.771,4.892,1.244,,3.93,5.849,15.565,14.141,0.064,11.493,13.214,18.185,1.744,14.356,9.057,,13.522,2.746,,4.058,4.736,13.682,8.575,2.581,10.304,7.687,9.752,,6.333,2.005,,14.139,0.0,9.201,11.362,7.543,7.253,,,15.541,15.575,0.0,11.08,13.378,6.731,2.907,5.11,6.61,
1997,3.391,0.0,14.693,13.927,6.68,7.448,0.0,0.742,4.765,1.25,,4.09,5.848,15.126,14.468,0.088,11.112,12.422,17.696,1.496,14.551,9.269,,12.77,2.754,,3.83,4.976,13.979,8.822,2.691,10.183,8.976,9.54,,6.435,1.859,,13.999,0.0,9.118,11.511,7.721,6.967,0.481,,14.65,14.823,0.0,11.225,13.352,6.699,2.932,5.308,6.593,
1998,3.296,0.0,14.608,13.979,7.029,7.767,0.0,0.736,4.956,1.316,,3.502,6.005,13.997,14.227,0.085,11.046,12.211,15.688,2.033,14.38,9.478,,12.555,2.666,,3.591,4.935,11.681,8.961,3.142,10.114,9.985,9.788,,5.99,1.798,,13.768,0.0,9.691,11.496,7.703,9.231,0.483,,14.598,14.931,0.0,11.295,13.115,6.427,2.982,5.307,6.653,
1999,3.173,0.0,14.563,13.919,6.696,9.528,0.0,0.777,4.75,1.37,,3.238,6.385,13.856,14.32,0.647,10.975,12.168,15.865,1.833,14.237,9.596,,11.56,2.738,,3.597,4.927,11.635,8.917,3.3,10.313,9.817,9.791,,5.959,1.871,,14.292,0.0,9.837,13.64,7.772,11.019,0.496,,13.752,14.727,0.0,11.503,11.526,6.572,4.175,5.439,6.63,
