TIME_PERIOD,Argentina,Australia,Austria,Belgium,Brazil,Bulgaria,Cabo Verde,Cameroon,Canada,Chile,China (People’s Republic of),Colombia,Costa Rica,Croatia,Czechia,Denmark,Estonia,Finland,France,Georgia,Germany,Greece,Hong Kong (China),Hungary,Iceland,Indonesia,Ireland,Israel,Italy,Japan,Korea,Latvia,Lithuania,Luxembourg,Madagascar,Malta,Mexico,Morocco,Netherlands,New Zealand,Norway,Poland,Portugal,Romania,Senegal,Singapore,Slovak Republic,Slovenia,South Africa,Spain,Sweden,Switzerland,Türkiye,United Kingdom,United States,Zambia
1990,1.511,2.511,1.071,1.575,1.646,,0.879,,3.515,1.032,,0.247,0.298,,,1.899,,1.051,2.628,,1.173,1.169,,,2.57,,1.504,,0.818,2.602,2.188,,,2.921,,,0.216,,1.449,2.476,1.185,,0.718,,,,,,0.346,1.74,1.721,2.053,0.331,2.686,3.059,
1991,1.846,2.602,1.089,1.539,1.171,,0.837,,3.711,1.057,,0.27,0.2,,,1.69,,1.003,2.642,,1.001,0.989,,0.517,2.717,,1.506,,0.911,2.652,2.305,,,2.515,,,0.265,,1.489,2.202,1.161,1.337,0.738,,,,,,0.306,1.576,1.891,1.873,0.34,2.373,3.195,
1992,1.347,2.61,1.118,1.527,1.034,,0.809,,3.901,1.126,,0.306,0.231,,,1.816,,0.964,3.212,,0.972,1.186,,0.446,2.861,,1.449,,1.363,2.833,2.313,,,2.683,,,0.307,,1.488,2.093,1.147,1.256,0.682,,,,,,0.268,1.573,1.593,1.904,0.332,2.274,3.162,
1993,1.065,2.729,1.083,1.685,1.037,,0.934,0.154,3.876,1.253,,0.339,0.252,,0.386,1.949,,1.169,2.773,,0.978,0.982,,0.367,2.926,,1.375,,2.191,3.003,2.587,,,2.835,0.085,,0.285,,1.578,1.934,1.045,1.349,0.683,,,,,,0.288,1.599,1.404,2.022,0.352,2.995,3.076,
1994,0.991,2.548,0.654,1.729,2.062,,0.827,0.128,3.8,1.152,,0.411,0.215,,0.435,1.801,,1.116,2.903,,1.011,0.944,,0.439,2.84,,1.52,,2.096,2.998,2.676,,,2.754,0.087,,0.272,,1.66,1.893,1.091,1.223,0.691,,,,,,0.366,1.797,1.414,2.091,1.306,3.195,3.103,
1995,0.969,2.482,0.612,1.636,1.002,0.177,0.806,0.151,3.692,1.142,,0.421,0.195,0.711,0.475,1.669,0.351,0.988,2.838,0.444,1.005,1.69,,0.497,2.793,,1.421,3.613,2.172,3.087,2.618,1.004,0.322,2.573,0.073,1.073,0.231,,1.566,1.91,1.126,1.266,0.927,0.603,,,0.561,0.544,0.342,1.783,1.221,2.018,0.499,2.939,3.0,
1996,1.06,2.593,0.607,1.781,0.86,0.187,0.822,0.08,3.677,1.247,,0.491,0.292,1.074,0.486,1.602,0.366,1.03,2.946,0.493,1.083,1.8,,0.598,2.64,,1.506,3.489,2.154,2.989,2.498,1.07,0.362,2.796,0.075,0.96,0.208,,1.687,1.879,1.119,1.308,0.874,0.249,,,0.652,0.528,0.335,1.761,1.696,2.121,0.331,2.991,3.009,
1997,1.032,2.631,0.576,1.923,1.676,0.087,0.783,0.073,3.67,1.3,,0.5,0.291,1.156,0.514,1.626,0.377,1.045,3.117,0.645,0.974,1.968,,0.58,2.556,0.32,1.52,3.312,2.106,2.89,2.415,1.135,0.405,2.953,0.108,0.886,0.193,,1.763,1.828,1.086,1.348,0.881,0.193,0.289,,0.644,0.624,0.333,2.001,1.806,2.213,0.546,3.104,3.008,
1998,1.134,2.642,0.572,2.074,1.721,0.204,0.612,0.079,3.706,1.311,,0.555,0.196,1.116,0.505,1.767,0.372,1.071,3.105,0.776,0.844,1.969,,0.587,2.145,0.23,1.564,3.248,1.916,2.785,2.061,1.274,0.411,3.267,0.064,0.813,0.192,,1.805,1.813,0.99,1.372,1.004,0.184,0.23,,0.632,0.813,0.314,1.962,1.709,2.478,0.712,3.254,3.004,
1999,1.178,2.738,0.573,2.062,1.695,0.236,0.677,0.103,3.57,1.401,,1.113,0.16,1.105,0.452,1.769,0.367,1.053,3.162,0.837,0.898,2.39,,0.634,2.155,0.284,1.691,3.279,1.859,2.788,2.631,1.0,0.454,3.653,0.071,0.768,0.191,,1.896,1.886,1.027,1.446,1.157,0.445,0.283,,0.638,0.741,0.401,2.052,1.702,2.595,0.636,3.444,3.001,
