TIME_PERIOD,FREQ,REF_AREA,SECTOR,COUNTERPART_SECTOR,TRANSACTION,INSTR_ASSET,ACTIVITY,EXPENDITURE,UNIT_MEASURE,PRICE_BASE,TRANSFORMATION,TABLE_IDENTIFIER
1990,Annual,ALB,Total economy,Total economy,"Value added, gross",Not applicable,Total,Not applicable,Percentage change,Laspeyres,"Growth rate, period on period",T0101
1991,,ARG,,,"Value added, gross, excluding FISIM",,,,,,,
1992,,AUS,,,,,,,,,,
1993,,AUT,,,,,,,,,,
1994,,BEL,,,,,,,,,,
1995,,BGR,,,,,,,,,,
1996,,BRA,,,,,,,,,,
1997,,CHE,,,,,,,,,,
1998,,CHL,,,,,,,,,,
1999,,CHN,,,,,,,,,,
2000,,COL,,,,,,,,,,
2001,,CYP,,,,,,,,,,
2002,,CZE,,,,,,,,,,
2003,,DEU,,,,,,,,,,
2004,,DEU_F,,,,,,,,,,
2005,,DNK,,,,,,,,,,
2006,,EA20,,,,,,,,,,
2007,,ESP,,,,,,,,,,
2008,,EST,,,,,,,,,,
2009,,EU27_2020,,,,,,,,,,
2010,,FIN,,,,,,,,,,
2011,,FRA,,,,,,,,,,
2012,,GBR,,,,,,,,,,
2013,,GRC,,,,,,,,,,
2014,,HRV,,,,,,,,,,
2015,,HUN,,,,,,,,,,
2016,,IDN,,,,,,,,,,
2017,,IND,,,,,,,,,,
2018,,ISR,,,,,,,,,,
2019,,ITA,,,,,,,,,,
2020,,JPN,,,,,,,,,,
2021,,KOR,,,,,,,,,,
2022,,LTU,,,,,,,,,,
2023,,LUX,,,,,,,,,,
,,LVA,,,,,,,,,,
,,MEX,,,,,,,,,,
,,MKD,,,,,,,,,,
,,MLT,,,,,,,,,,
,,NLD,,,,,,,,,,
,,NOR,,,,,,,,,,
,,NZL,,,,,,,,,,
,,POL,,,,,,,,,,
,,PRT,,,,,,,,,,
,,ROU,,,,,,,,,,
,,RUS,,,,,,,,,,
,,SRB,,,,,,,,,,
,,SVK,,,,,,,,,,
,,SVN,,,,,,,,,,
,,SWE,,,,,,,,,,
,,TUR,,,,,,,,,,
,,ZAF,,,,,,,,,,
