,Total Tax Revenue,Gdp Per Capita Growth Rates
Zambia,23,17
Morocco,11,18
Georgia,5,21
Madagascar,4,18
Hong Kong (China),20,1
Cabo Verde,1,18
Senegal,8,10
China (People’s Republic of),17,1
Argentina,0,15
Croatia,6,6
Romania,6,6
Lithuania,5,6
Israel,5,6
Indonesia,7,4
Malta,5,6
Singapore,10,1
Slovenia,5,6
Latvia,5,6
Bulgaria,5,6
Estonia,5,4
Cameroon,4,4
Slovak Republic,5,3
Brazil,0,6
Czechia,3,1
Hungary,1,2
South Africa,1,1
Costa Rica,0,2
Australia,1,1
Poland,1,1
Japan,1,1
Germany,0,1
Greece,0,1
Belgium,0,1
Austria,0,1
Finland,0,1
France,0,1
Colombia,0,1
Chile,0,1
Canada,0,1
Denmark,0,1
New Zealand,0,1
Netherlands,0,1
Mexico,0,1
Luxembourg,0,1
Ireland,0,1
Iceland,0,1
Italy,0,1
Korea,0,1
Norway,0,1
Portugal,0,1
Sweden,0,1
Spain,0,1
Switzerland,0,1
Türkiye,0,1
United Kingdom,0,1
United States,0,1
TOTAL_MISSING,170,224
Total Datasets Analyzed,2,2
Total Countries,56,56
Total Missing Values Across All Datasets,394,394
Top_Countries_Header,Countries with most missing values,
Top_1_Country,Zambia,40
Top_2_Country,Morocco,29
Top_3_Country,Georgia,26
Top_4_Country,Madagascar,22
Top_5_Country,Hong Kong (China),21
Top_6_Country,Cabo Verde,19
Top_7_Country,Senegal,18
Top_8_Country,China (People’s Republic of),18
Top_9_Country,Argentina,15
Top_10_Country,Croatia,12
